id_orgao_cluster;tipo_justica;Atuacao_Vara;Cluster_Novo;Desc_Cluster;Porte_Municipio;Porte_Tribunal;Classificacao_Acervo_2;Classificacao_PIB_per_capita;codtribunal;cod_orgao_julg;Classificacao_cluster;Desc_Cluster_com_duracao
1;Estadual;Civel;Cluster 4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita;Pequeno_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;11674;3;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 480 dias
2;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;17051;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 175 dias
3;Estadual;Civel;Cluster 4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita;Pequeno_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;3604;3;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 656 dias
4;Estadual;Civel;Cluster 1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;3608;0;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 463 dias
5;Estadual;Civel;Cluster 1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;3612;0;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 802 dias
6;Estadual;Civel;Cluster 1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;3613;0;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 809 dias
7;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;3621;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 873 dias
8;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;3622;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 926 dias
9;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;3623;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 883 dias
10;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;3624;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 836 dias
11;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;3639;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 373 dias
12;Estadual;Civel;Cluster 1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;8153;0;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 563 dias
13;Estadual;Civel;Cluster 1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;8155;0;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 610 dias
14;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;33549;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 517 dias
15;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;33550;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 150 dias
16;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;3641;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 377 dias
17;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;3642;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 434 dias
18;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;33567;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 345 dias
19;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAC;33572;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 194 dias
20;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAL;6330;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 135 dias
21;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAL;6696;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 127 dias
