codtribunal;grau;cod_orgao_julg;desc_orgao_julg;tipo_justica;uf;tipo_processo_classificacao_2;Porte;atuacao_class_2;Classificacao_Arcevo_1;Classificacao_Acervo_2;Median(numero_dias);Count*(npu)
TJAC;G1;11674;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;618;85
TJAC;G1;14075;Vara de Execuções Penas e Medidas Alternativas;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1041;79
TJAC;G1;17049;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;777;31
TJAC;G1;17049;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;441;64
TJAC;G1;17052;Vara de Execução Fiscal;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1078;64
TJAC;G1;17054;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;377;30
TJAC;G1;17054;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;750;51
TJAC;G1;3588;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1171;26
TJAC;G1;3591;Central de Execuções de Penas Alternativas;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;800;44
TJAC;G1;3612;1ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;634;163
TJAC;G1;3613;2ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;702;191
TJAC;G1;3614;1ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;921;79
TJAC;G1;3615;2ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;435;81
TJAC;G1;3621;1ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;681;471
TJAC;G1;3622;2ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;791;431
TJAC;G1;3623;3ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;762;455
TJAC;G1;3624;4ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;627;384
TJAC;G1;3625;1ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;914;137
TJAC;G1;3626;Vara de Delitos de Organizações Criminosas;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;663;120
TJAC;G1;3627;3ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1136;100
TJAC;G1;3628;4ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;708;135
