codtribunal;grau;cod_orgao_julg;desc_orgao_julg;tipo_justica;uf;tipo_processo_classificacao_2;Porte;atuacao_class_2;Classificacao_Arcevo_1;Classificacao_Acervo_2;Median(numero_dias);Count*(npu);Sum(numero_dias);Mean(numero_dias)
TJAC;G1;11046;2ª Vara de Família;Estadual;AC;Cível;PEQUENO;Cível;Acervo Pequeno;Acervo Pequeno;231;8;2546;318.25
TJAC;G1;11674;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;618;85;66154;778.2823529411762
TJAC;G1;14075;Vara de Execuções Penas e Medidas Alternativas;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1041;79;95393;1207.5063291139243
TJAC;G1;16317;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;1266;2;3828;1914
TJAC;G1;16317;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1869;2;4284;2142
TJAC;G1;17049;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;777;31;24777;799.2580645161289
TJAC;G1;17049;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;441;64;42831;669.2343749999998
TJAC;G1;17050;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1957;10;18468;1846.8
TJAC;G1;17050;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1961;12;20270;1689.1666666666665
TJAC;G1;17051;5ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;175;3;526;175.33333333333331
TJAC;G1;17052;Vara de Execução Fiscal;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1078;64;70001;1093.7656249999995
TJAC;G1;17054;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;377;30;17775;592.5000000000003
TJAC;G1;17054;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;750;51;46336;908.5490196078428
TJAC;G1;33547;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;151;1;151;151
TJAC;G1;3588;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1171;26;28833;1108.961538461538
TJAC;G1;3591;Central de Execuções de Penas Alternativas;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;800;44;38966;885.5909090909091
TJAC;G1;3604;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1780;14;19113;1365.2142857142858
TJAC;G1;3605;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;1488;7;9170;1309.9999999999998
TJAC;G1;3608;Vara Civel;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;136;2;281;140.5
TJAC;G1;3609;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1884;12;17567;1463.9166666666665
TJAC;G1;3612;1ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;634;163;130679;801.7116564417179
