codtribunal;cod_orgao_julg;desc_orgao_julg;tipo_justica;uf;tipo_processo_classificacao_2;Porte;atuacao_class_2;Classificacao_Arcevo_1;Classificacao_Acervo_2;Median(numero_dias);Count*(npu)
TJAC;11674;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;260;216
TJAC;14075;Vara de Execuções Penas e Medidas Alternativas;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1041;79
TJAC;17049;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;361;54
TJAC;17049;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;234;128
TJAC;17050;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;496;28
TJAC;17050;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;273;39
TJAC;17052;Vara de Execução Fiscal;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1078;64
TJAC;17053;Juizado Especial da Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;132;50
TJAC;17054;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;307;86
TJAC;17054;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;406;103
TJAC;33548;CÂMARA CRIMINAL;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;232;206
TJAC;33549;1ª CÂMARA CÍVEL;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;322;127
TJAC;33563;TRIBUNAL PLENO JURISDICIONAL;Estadual;AC;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;394;21
TJAC;33567;1ª TURMA RECURSAL;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;145;30
TJAC;33572;2ª TURMA RECURSAL;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;177;36
TJAC;3588;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;207;50
TJAC;3591;Central de Execuções de Penas Alternativas;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;800;44
TJAC;3604;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;331;85
TJAC;3605;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;644;50
TJAC;3608;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;366;241
TJAC;3609;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;462;59
TJAC;3612;1ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;634;163
TJAC;3613;2ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;702;191
TJAC;3614;1ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;806;128
TJAC;3615;2ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;435;81
TJAC;3616;Juizado Especial Civel e de Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;190;36
TJAC;3621;1ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;681;471
TJAC;3622;2ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;791;431
TJAC;3623;3ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;762;455
TJAC;3624;4ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;627;384
TJAC;3625;1ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;914;137
TJAC;3626;Vara de Delitos de Organizações Criminosas;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;663;120
TJAC;3627;3ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1136;100
TJAC;3628;4ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;708;135
TJAC;3632;1ª Vara da Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;622;403
TJAC;3633;2ª Vara da Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;457;296
TJAC;3635;Vara de Ófãoe e Sucessões;Estadual;AC;Cível;PEQUENO;Cível;Acervo Médio;Acervo Médio;518;53
TJAC;3636;Vara de Registros Públicos, Órfãos e Sucessões e de Cartas Precatórias Cíveis;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;206;88
TJAC;3638;1ª Vara do Tribunal do Juri;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;813;44
TJAC;3639;1º Juizado Especial Civel;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;265;976
TJAC;3639;1º Juizado Especial Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;232;118
TJAC;3641;2º Juizado Especial Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;296;1413
TJAC;3642;3º Juizado Especial Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;308;1327
TJAC;3644;1º Juizado Especial Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;231;172
