codtribunal;grau;cod_orgao_julg;tipo_justica;descricao;uf;Porte_Municipio;Pop_est_2009;PIB_percapita;Classificacao_PIB_per_capita;Porte_Tribunal;Atuacao_Vara;Classificacao_Acervo_2;Median(numero_dias);Count*(npu);Sum(numero_dias);Mean(numero_dias)
TJAC;G1;11674;Estadual;VARA CÍVEL;AC;Pequeno_Porte;20238;9634.33984375;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;618;85;66154;778.2823529411762
TJAC;G1;14075;Estadual;VARA DE EXECUÇÕES PENAS E MEDIDAS ALTERNATIVAS;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;1041;79;95393;1207.5063291139243
TJAC;G1;16317;Estadual;VARA ÚNICA;AC;Pequeno_Porte;5662;8538.91015625;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;1869;4;8112;2028
TJAC;G1;17049;Estadual;VARA ÚNICA;AC;Pequeno_Porte;14224;9114.25;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;477;95;67608;711.6631578947373
TJAC;G1;17050;Estadual;VARA ÚNICA;AC;Pequeno_Porte;18235;11209.79003906;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;1961;22;38738;1760.818181818181
TJAC;G1;17051;Estadual;ª VARA CÍVEL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;175;3;526;175.33333333333331
TJAC;G1;17052;Estadual;VARA DE EXECUÇÃO FISCAL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Execucao fiscal;Acervo Grande;1078;64;70001;1093.7656249999995
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno_Porte;15079;9965.00976562;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;709;81;64111;791.4938271604942
TJAC;G1;33547;Estadual;VARA ÚNICA;AC;Pequeno_Porte;13460;11379.61035156;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Médio;151;1;151;151
TJAC;G1;3588;Estadual;VARA CRIMINAL;AC;Pequeno_Porte;20238;9634.33984375;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;1171;26;28833;1108.961538461538
TJAC;G1;3591;Estadual;CENTRAL DE EXECUÇÕES DE PENAS ALTERNATIVAS;AC;Pequeno_Porte;20238;9634.33984375;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;800;44;38966;885.5909090909091
TJAC;G1;3604;Estadual;VARA CÍVEL;AC;Pequeno_Porte;19697;11024.71972656;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;1780;14;19113;1365.2142857142858
TJAC;G1;3605;Estadual;VARA CRIMINAL;AC;Pequeno_Porte;19697;11024.71972656;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;1488;7;9170;1309.9999999999998
TJAC;G1;3608;Estadual;VARA CÍVEL;AC;Medio_Porte;36166;10273.62988281;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;136;2;281;140.5
TJAC;G1;3609;Estadual;VARA CRIMINAL;AC;Medio_Porte;36166;10273.62988281;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;1884;12;17567;1463.9166666666665
TJAC;G1;3612;Estadual;ª VARA CÍVEL;AC;Medio_Porte;77004;8887.19042969;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;634;163;130679;801.7116564417179
TJAC;G1;3613;Estadual;ª VARA CÍVEL;AC;Medio_Porte;77004;8887.19042969;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;702;191;154600;809.424083769634
TJAC;G1;3614;Estadual;ª VARA CRIMINAL;AC;Medio_Porte;77004;8887.19042969;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;921;79;73665;932.4683544303797
TJAC;G1;3615;Estadual;ª VARA CRIMINAL;AC;Medio_Porte;77004;8887.19042969;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;435;99;54980;555.3535353535353
TJAC;G1;3621;Estadual;ª VARA CÍVEL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;681;471;411381;873.4203821656049
TJAC;G1;3622;Estadual;ª VARA CÍVEL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;791;431;399106;926.0000000000001
TJAC;G1;3623;Estadual;ª VARA CÍVEL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;762;455;401677;882.8065934065938
TJAC;G1;3624;Estadual;ª VARA CÍVEL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;627;384;320932;835.7604166666666
