cod_orgao_julg;Median(numero_dias);Count*(npu)
10004;127;5
10057;146;1
10077;162;1
10175;135;1
10228;147;1
10287;117;1
10403;162;1
10427;237;1
1045;124;8
1046;119;3
10468;2557;1
10553;2591;1
10571;146;1
10574;153;2
10701;163;1
10746;128;1
10789;2255;1
10792;1962;9
10793;2064;46
10797;2066;5
10798;121;4
10862;121;1
10877;140;1
10885;161;1
10919;124;1
10957;124;1
10959;155;1
10965;173;3
10969;2049;12
10980;1931;17
10981;123;3
10983;118;2
10991;147;2
10995;128;2
10999;2171;5
11006;117;2
11008;2046;12
11012;121;1
11017;138;1
11018;336;13
11019;126;6
11020;2305;24
11021;1927;7
11022;149;8
11023;672;3
11024;162;1
11025;137;3
11027;128;3
11028;133;3
11029;139;4
11030;125;2
11031;125;3
11032;2029;51
11033;149;2
11034;118;2
11035;124;2
11036;126;13
11037;136;11
11038;132;3
11039;146;2
11040;144;5
11041;152;1
11042;125;6
11043;144;1
11044;127;4
11045;123;4
11046;231;8
11050;121;5
11051;130;2
11052;122;2
11053;1954;19
11054;1300;53
11055;624;18
11056;153;23
11057;1266;12
11058;1975;3
11059;120;2
11061;126;2
11068;127;3
11069;1157;17
11071;138;8
11072;125;89
11074;131;2
11075;1852;12
11076;1875;13
11082;137;8
11083;176;5
11084;159;1
11085;133;8
11086;1768;6
11087;2056;4
11089;154;9
11093;151;17
11094;1940;19
11102;2300;2
11106;126;2
11109;1736;2
11148;1054;1
11152;225;1
11154;248;2
11156;2289;2
11157;118;2
11158;1780;14
11223;1163;81
11228;126;1
11234;2134;1
11244;227;21
11245;304;6
11246;1283;9
11247;1208;42
11248;1513;41
11249;1118;33
11251;698;5
11253;1473;15
11254;708;16
11257;1073;1
11258;365;14
11260;1084;1
11261;761;5
11262;791;18
11263;488;5
11264;610;57
11265;378;7
11266;672;4
11267;1065;21
11268;1613;11
11270;744;28
11271;134;1
11272;640;16
11273;1592;9
11274;900;6
11275;1100;1
11276;190;2
11277;1310;71
11279;363;6
11280;428;13
11281;155;76
11282;484;1
11283;735;11
11285;1530;49
11286;376;25
11287;714;49
11288;1868;14
11289;1575;33
11290;324;26
11291;345;14
11292;1979;68
11293;1490;27
11294;701;16
11295;366;68
11296;1072;91
11297;1105;14
11298;1820;29
11299;938;78
11300;770;50
11302;869;31
11304;1481;9
11305;1232;55
11306;1191;114
11307;785;33
11308;1107;31
11310;1562;23
11311;613;29
11312;1788;109
11313;360;14
11315;1064;42
11316;895;65
11317;830;105
11318;1647;62
11319;945;62
11320;1557;35
11321;1021;28
11322;674;32
11323;722;36
11324;875;24
11326;120;1
11327;162;1
11331;1864;80
11332;966;22
11333;613;23
11334;1680;17
11335;1102;53
11336;1979;10
11337;867;57
11338;845;55
11339;1184;53
11340;2187;100
11341;873;18
11342;589;30
11343;643;57
11344;2285;56
11345;360;20
11346;1450;3
11347;763;225
11348;604;68
11349;1519;43
11350;706;60
11351;751;34
11352;527;2
11353;1662;15
11354;931;22
11355;954;6
11356;2004;1
11357;1770;16
11358;812;9
11359;1890;15
11360;871;4
11367;2227;3
11368;2412;12
11377;161;1
11394;903;1
11398;1120;1
11400;993;2
11401;1270;1
11402;923;1
11403;1288;2
11404;1083;2
11413;1085;3
11415;1280;1
11446;2028;2
11448;402;3
11456;115;1
1147;119;2
11470;250;1
11472;211;4
11474;283;1
11479;392;1
11481;268;3
11485;118;1
11502;284;1
11507;941;3
11510;121;1
11532;120;1
11538;1388;1
11542;120;1
11544;308;1
11562;127;1
11567;192;1
11576;265;1
11579;1225;1
11590;247;1
11602;298;1
11609;2155;2
11610;784;2
11615;203;2
11628;2164;2
11648;1135;37
11652;119;1
11674;260;216
11679;1948;32
11682;130;11
11686;128;1
11687;127;6
11699;125;1
11701;2121;55
11712;1015;366
11714;978;152
11731;131;4
11735;138;3
11736;125;1
11737;159;4
11738;152;10
11740;1818;2
11784;253;4
11839;728;1
11848;677;7
11850;2074;93
11853;121;1
11857;2468;3
11865;2410;1
11870;1805;21
11879;1926;19
11890;172;8
11891;136;6
11892;585;14
11911;165;6
11912;168;22
11913;154;1
11914;134;2
11915;1151;20
11916;139;12
11917;1199;10
11918;165;2
11919;161;6
11920;1876;12
11922;640;3
11923;1241;5
11925;328;5
11926;175;2
11927;187;7
11928;2415;9
11929;167;15
11930;188;9
11931;172;5
11950;2269;5
11951;784;10
11952;161;3
11954;1794;9
11957;190;16
11958;173;4
11960;193;42
11961;564;29
11964;2242;15
11966;124;4
11969;687;12
11970;2205;15
11971;199;11
11972;799;81
11973;665;57
11975;2222;13
11978;825;17
11979;721;6
1198;154;1
12001;176;8
12003;2199;28
12004;1786;33
12005;2022;16
12006;154;4
12007;2117;28
12008;358;5
12011;1536;27
12012;1255;5
12013;1989;4
1202;151;1
1204;152;7
1205;121;2
1206;158;1
1212;146;8
12139;2083;6
12147;2301;11
12149;173;3
12150;125;2
12151;1815;337
12158;124;2
12159;129;3
1216;135;1
12160;152;5
12161;150;1
12166;147;1
12167;124;2
12169;126;4
12171;124;4
12172;126;3
12173;115;2
12174;141;3
12175;116;1
12176;126;3
12177;116;1
12178;115;1
12182;123;4
12184;146;2
12186;122;1
12188;159;4
12189;127;1
12190;135;2
12191;142;2
12192;125;1
12193;160;4
12195;117;3
12197;139;1
12199;146;1
12202;148;5
12206;127;1
12208;117;2
12213;119;1
12214;129;1
12219;147;14
12220;130;3
12221;160;3
12222;133;2
12223;131;4
12225;136;2
12226;134;1
12227;139;2
12230;139;2
12231;139;1
12232;153;3
12233;130;1
12234;137;4
12237;145;3
12238;117;1
12239;2064;84
12240;2282;10
12241;1933;6
12242;2249;11
12243;1917;5
12244;2024;5
12245;2054;10
12246;1941;11
12247;128;10
12248;2078;11
12249;2106;93
12250;1934;9
12251;1975;14
12252;2220;9
12253;2036;80
12254;1904;12
12255;1870;15
12256;1855;3
12257;1946;88
12258;2256;5
12259;1831;58
12260;2077;43
12261;1923;73
12262;2149;5
12263;2162;2
12264;1872;23
12265;2025;8
12266;1877;7
12267;1980;9
12268;1849;6
12269;2142;18
1227;160;1
12270;127;4
12271;2230;15
12273;2002;47
12276;1899;17
12278;1758;59
12280;2037;35
12282;1912;18
12284;1986;20
12286;1957;22
12288;1870;26
12289;1945;18
12291;1870;13
12293;2088;47
12294;2001;30
12296;2002;12
12297;1828;77
12298;2142;17
12299;2063;13
12301;2239;20
12302;2107;10
12305;1756;22
12307;1914;59
12308;2066;27
12309;1854;33
12311;1866;22
12312;1967;26
12313;2014;32
12316;2029;32
12317;2024;63
12320;1961;37
12322;1866;19
12324;1888;33
1238;134;1
1242;116;4
12438;1973;67
1244;116;1
12442;2016;78
12443;2221;35
12444;2012;31
12445;1989;37
12446;2131;35
12447;1747;28
12448;2231;26
12449;2069;21
12450;1989;36
12451;1975;18
12453;2023;5
12454;2198;8
12455;2105;18
12456;2222;9
12457;1982;13
12458;2203;14
12460;1984;18
12461;2222;17
12462;1844;15
12464;1956;7
12465;1863;34
12466;1903;22
12468;2031;20
12470;2040;20
12471;2071;17
12472;2066;13
12473;1918;27
12475;2124;10
12476;1897;11
12478;1983;19
12479;1893;16
1248;147;12
12480;1669;5
12482;1846;21
12483;2122;13
12484;1943;17
12486;1997;25
12487;1880;15
12488;2125;16
12490;2057;8
12491;2086;7
12492;2130;8
12494;2024;14
12495;2309;9
12496;2049;17
12498;2113;4
12499;2027;4
12500;1946;7
12502;2147;22
12504;2106;20
12506;2370;2
12507;2177;8
12511;2112;13
12512;2065;10
12513;2254;12
12515;2082;66
12516;2264;23
12517;1968;30
12518;2016;35
12519;2063;37
12521;1890;24
12522;2049;35
12524;2001;15
12528;2098;7
12530;2149;5
12532;1979;16
12534;2141;9
12535;118;2
12536;2176;3
12538;1896;25
12541;2505;5
12542;2020;60
12544;2121;21
12545;2054;11
12547;2252;5
12549;2474;3
12551;1749;20
12553;2238;13
12555;2250;1
12571;287;2
12572;2009;61
12576;2140;19
12577;165;1
12578;165;2
12581;159;5
12582;126;4
12583;145;4
12584;683;1
12585;148;3
12586;128;1
12587;177;6
12588;137;7
12589;160;10
12590;168;13
12591;692;8
12592;162;1
12593;733;21
12594;282;12
12595;153;3
12596;174;12
12600;1242;18
12602;186;11
12603;581;16
12604;153;3
12605;561;18
12609;153;6
12610;174;6
12611;629;18
12612;137;4
12613;186;1
12615;433;24
12616;201;1
12617;139;4
12618;144;4
12619;148;3
12620;148;1
12621;188;1
12625;144;17
12626;144;2
12627;152;3
12632;181;2
12633;179;5
12634;183;3
12635;165;1
12637;148;6
12638;126;6
12639;153;2
12641;179;6
12642;149;5
12643;120;2
12647;179;3
12650;252;5
12651;153;2
12652;128;6
12653;153;6
12654;166;14
12655;174;17
12656;1293;16
12658;1898;19
12659;2084;18
12660;181;8
12663;180;5
12664;196;21
12665;607;13
12666;159;7
12667;167;4
12668;194;8
12669;180;3
12670;176;22
12671;189;5
12672;197;19
12673;1058;10
12674;1258;18
12675;155;16
12676;167;16
12677;188;21
12678;139;4
12679;125;5
12680;173;3
12681;177;3
12682;1512;18
12685;181;1
12686;174;14
12687;161;3
12688;155;10
12689;148;11
12690;195;1
12691;134;2
12692;159;4
12694;186;3
12695;158;11
12696;143;26
12697;161;5
12702;124;1
12703;1959;6
12707;117;1
12734;145;4
12735;133;5
12786;126;6
12814;140;2
12847;133;1
12849;1805;36
12850;2002;76
12852;1893;20
12853;2054;41
12854;1881;8
12856;1935;11
12860;2192;172
12861;1799;3
12862;2432;5
12863;1917;7
12864;2037;21
12865;1936;11
12866;1857;4
12867;1778;3
12868;1777;2
12869;2057;10
12870;128;3
12871;2067;15
12872;2059;27
12873;2474;19
