"classeProcessual","codigoLocalidade","orgaoJulgador_codigoOrgao","assunto_codigoNacional","codigo_ultima_movimentacao","mes_ajuizamento","alvo_processos_demorados","G1","G2","JE","TR","CRIMINAL","CIVIL","JUIZADOS","EXECUTIVOS","OUTROS","PEQUENO","MÉDIO","GRANDE"
1727,1200203,3615,3416,246,2,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
202,0,33549,9607,246,2,"NORMAL",0,1,0,0,0,1,0,0,0,1,0,0
278,1200336,8148,3385,246,2,"NORMAL",0,0,1,0,1,0,0,0,0,1,0,0
278,1200385,17050,3400,246,1,"NORMAL",0,0,1,0,1,0,0,0,0,1,0,0
278,1200401,3644,3400,246,2,"NORMAL",0,0,1,0,1,0,0,0,0,1,0,0
278,1200401,3645,3394,246,3,"NORMAL",0,0,1,0,1,0,0,0,0,1,0,0
198,0,33572,10433,22,2,"NORMAL",0,0,0,1,0,1,0,0,0,1,0,0
355,2704302,8183,3369,22,3,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,2704302,8183,3369,22,7,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,2704708,6201,287,22,7,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
7,1302603,4790,9575,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
7,1302603,4791,7698,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
7,1302603,4794,6109,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
7,1302603,4787,4951,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
7,1302603,4799,7760,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
7,1302603,4798,10671,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
7,1302603,4789,7768,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
7,1302603,4831,9196,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
7,1302603,4799,9585,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
