classeProcessual;codigoLocalidade;orgaoJulgador_codigoOrgao;assunto_codigoNacional;codigo_ultima_movimentacao;mes_ajuizamento;alvo_processos_mais_rapidos;G1;G2;JE;TR;CRIMINAL;CIVIL;JUIZADOS;EXECUTIVOS;OUTROS;PEQUENO;MÉDIO;GRANDE
305;1200013;8149;3415;22;7;RAPIDO;1;0;0;0;1;0;0;0;0;1;0;0
305;1200385;17050;3369;246;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
1727;1200203;3615;3416;246;2;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
198;0;33549;9597;22;2;NORMAL;0;1;0;0;0;1;0;0;0;1;0;0
278;1200302;8154;3385;246;3;RAPIDO;0;0;1;0;1;0;0;0;0;1;0;0
278;1200401;3645;3394;246;3;RAPIDO;0;0;1;0;1;0;0;0;0;1;0;0
198;0;33572;1156;22;2;RAPIDO;0;0;0;1;0;1;0;0;0;1;0;0
7;1302603;4841;14;22;12;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
7;1302603;4790;9575;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
7;1302603;4822;12416;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
7;1302603;4787;4951;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
7;1302603;4785;5977;22;3;RAPIDO;1;0;0;0;0;1;0;0;0;1;0;0
7;1302603;4792;9607;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
7;1302603;4794;10433;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
7;1302603;4790;12612;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
37;1302603;4798;4703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4793;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4792;7703;22;3;RAPIDO;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4796;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4796;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4796;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4781;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4795;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4793;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
