siglaTribunal;grau;classeProcessual;codigoLocalidade;numero;orgaoJulgador_codigoOrgao;assunto_codigoNacional;NATUREZA;Porte;duracao_F2;mes_ajuizamento;NATUREZA (#1);Count*(duracao_F2);Mean(duracao_F2);Median(duracao_F2);G1;G2;JE;TR;CRIMINAL;CIVIL;JUIZADOS;EXECUTIVOS;OUTROS;PEQUENO;MÉDIO;GRANDE
TJAP;G1;7;1600055;4798520128030010;16409;10433;CIVIL;PEQUENO;93;12;CIVIL;26;309.34615384615387;216.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600154;101807020128030016;16409;8826;CIVIL;PEQUENO;110;2;CIVIL;39;286.20512820512823;210;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600154;101807020128030016;16409;10435;CIVIL;PEQUENO;110;2;CIVIL;3;73.66666666666666;110;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600204;4897520118030007;6151;9045;CIVIL;PEQUENO;128;6;CIVIL;48;256.3749999999999;231;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600204;9371420128030008;6151;9045;CIVIL;PEQUENO;217;11;CIVIL;48;256.3749999999999;231;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600238;9291120108030006;6155;8826;CIVIL;PEQUENO;375;8;CIVIL;39;286.20512820512823;210;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600238;9291120108030006;6155;10444;CIVIL;PEQUENO;375;8;CIVIL;6;416.33333333333337;375;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600238;8376220128030006;6155;10502;CIVIL;PEQUENO;315;8;CIVIL;9;279.33333333333337;153;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600238;9371720128030006;6155;8826;CIVIL;PEQUENO;156;8;CIVIL;39;286.20512820512823;210;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600253;8607620108030006;6155;10444;CIVIL;PEQUENO;96;7;CIVIL;6;416.33333333333337;375;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600279;28872620108030008;6160;7779;CIVIL;PEQUENO;585;11;CIVIL;6;212;48;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600279;4151820118030008;6160;9045;CIVIL;PEQUENO;642;2;CIVIL;48;256.3749999999999;231;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600279;4151820118030008;6160;10502;CIVIL;PEQUENO;642;2;CIVIL;9;279.33333333333337;153;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600279;10162420118030008;78603;8826;CIVIL;PEQUENO;638;4;CIVIL;39;286.20512820512823;210;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600279;10162420118030008;78603;10433;CIVIL;PEQUENO;638;4;CIVIL;26;309.34615384615387;216.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600279;15592720118030008;6157;10433;CIVIL;PEQUENO;398;6;CIVIL;26;309.34615384615387;216.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600279;14221120128030008;6160;8826;CIVIL;PEQUENO;210;5;CIVIL;39;286.20512820512823;210;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600279;14221120128030008;6160;10433;CIVIL;PEQUENO;210;5;CIVIL;26;309.34615384615387;216.5;1;0;0;0;0;1;0;0;0;1;0;0
