classeProcessual;codigoLocalidade;orgaoJulgador_codigoOrgao;assunto_codigoNacional;codigo_ultima_movimentacao;mes_ajuizamento;alvo_processos_mais_rapidos;G1;G2;JE;TR;CRIMINAL;CIVIL;JUIZADOS;EXECUTIVOS;OUTROS;PEQUENO;MÉDIO;GRANDE
279;1200401;81694;3416;246;7;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
198;0;33549;4847;22;3;NORMAL;0;1;0;0;0;1;0;0;0;1;0;0
202;0;33549;9607;246;2;NORMAL;0;1;0;0;0;1;0;0;0;1;0;0
417;0;33548;3463;22;2;NORMAL;0;1;0;0;1;0;0;0;0;1;0;0
278;1200336;8148;3385;246;2;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
278;1200385;17050;3400;246;1;RAPIDO;0;0;1;0;1;0;0;0;0;1;0;0
278;1200401;3644;3400;246;2;RAPIDO;0;0;1;0;1;0;0;0;0;1;0;0
278;1200401;3645;3394;246;2;RAPIDO;0;0;1;0;1;0;0;0;0;1;0;0
278;1200500;3609;3402;246;3;RAPIDO;0;0;1;0;1;0;0;0;0;1;0;0
355;1200401;3644;287;22;5;RAPIDO;0;0;1;0;1;0;0;0;0;1;0;0
198;0;33572;10433;22;2;RAPIDO;0;0;0;1;0;1;0;0;0;1;0;0
198;0;33572;1156;22;2;RAPIDO;0;0;0;1;0;1;0;0;0;1;0;0
198;0;33567;1156;22;2;NORMAL;0;0;0;1;0;1;0;0;0;1;0;0
198;0;33572;10433;22;2;RAPIDO;0;0;0;1;0;1;0;0;0;1;0;0
198;0;33572;10439;22;2;RAPIDO;0;0;0;1;0;1;0;0;0;1;0;0
198;0;33567;899;22;2;NORMAL;0;0;0;1;0;1;0;0;0;1;0;0
198;0;33572;1156;22;3;NORMAL;0;0;0;1;0;1;0;0;0;1;0;0
198;0;33572;10433;22;3;RAPIDO;0;0;0;1;0;1;0;0;0;1;0;0
261;2706505;5895;7664;22;5;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
355;2704302;8183;3369;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;2704302;8180;3633;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;2704302;8183;3369;22;7;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;2704708;6201;287;22;7;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
7;1302108;5120;7677;246;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
7;1302603;4782;899;22;8;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
