siglaTribunal;grau;classeProcessual;codigoLocalidade;numero;orgaoJulgador_codigoOrgao;assunto_codigoNacional;NATUREZA;Porte;duracao_F3;mes_ajuizamento;NATUREZA (#1);Count*(duracao_F3);Mean(duracao_F3);Median(duracao_F3);G1;G2;JE;TR;CRIMINAL;CIVIL;JUIZADOS;EXECUTIVOS;OUTROS;PEQUENO;MÉDIO;GRANDE
TJAM;G1;40;1302603;6396849120208039900;4792;7703;CIVIL;PEQUENO;46;3;CIVIL;14;1037.142857142857;1186.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAM;G1;40;1302603;6402434820208039900;4792;7703;CIVIL;PEQUENO;47;3;CIVIL;14;1037.142857142857;1186.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAM;JE;436;1302504;31634220138045400;13092;9587;JUIZADOS;PEQUENO;763;4;JUIZADOS;6;727.3333333333334;716;0;0;1;0;0;0;1;0;0;1;0;0
TJAM;JE;436;1302603;6375838120208039900;4913;9178;JUIZADOS;PEQUENO;17;3;JUIZADOS;1;17;17;0;0;1;0;0;0;1;0;0;1;0;0
TJAM;JE;436;1302603;6405726020208039900;4913;11806;JUIZADOS;PEQUENO;50;3;JUIZADOS;1;50;50;0;0;1;0;0;0;1;0;0;1;0;0
TJAP;G1;7;1600303;292001620088030020;6167;9148;CIVIL;PEQUENO;1744;9;CIVIL;234;1353.4615384615383;1418.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600600;43165120078030000;6410;6104;CIVIL;PEQUENO;86;8;CIVIL;1;86;86;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;37;1600303;211235220078030016;6162;9196;CIVIL;PEQUENO;699;7;CIVIL;1;699;699;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;40;1600154;1695020108030010;16409;899;CIVIL;PEQUENO;161;3;CIVIL;5;1639.6;1822;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;40;1600303;350828520108030020;6162;7703;CIVIL;PEQUENO;1098;10;CIVIL;14;1037.142857142857;1186.5;1;0;0;0;0;1;0;0;0;1;0;0
