siglaTribunal;grau;classe;orgaoJulgador_codigoOrgao;assunto;pct_movs_acima_100_dias;chave
TJAC;G1;159;3622;;0.10526315789473684;TJAC|3622|159|
TJAC;G1;1727;3615;3416;0.16666666666666669;TJAC|3615|1727|3416
TJAC;G1;279;3628;;0.15625;TJAC|3628|279|
TJAC;G1;37;3630;;0.13333333333333336;TJAC|3630|37|
TJAC;G1;386;3615;;0.33333333333333337;TJAC|3615|386|
TJAC;G2;198;33549;4847;0.14285714285714288;TJAC|33549|198|4847
TJAC;G2;202;33549;9607;0.5;TJAC|33549|202|9607
TJAC;G2;417;33548;3463;0.5;TJAC|33548|417|3463
TJAC;JE;156;8155;;0.10714285714285712;TJAC|8155|156|
TJAC;JE;159;3641;;0.11464968152866248;TJAC|3641|159|
TJAC;JE;159;8150;;0.25;TJAC|8150|159|
TJAC;JE;261;3604;;0.33333333333333337;TJAC|3604|261|
TJAC;JE;261;3616;;0.16666666666666669;TJAC|3616|261|
TJAC;JE;436;3604;;0.18181818181818188;TJAC|3604|436|
TJAC;TR;198;33567;899;0.25;TJAC|33567|198|899
TJAC;TR;460;33572;10433;0.18181818181818182;TJAC|33572|460|10433
TJAL;G1;355;8180;3633;0.5;TJAL|8180|355|3633
TJAL;G1;355;8183;3369;0.10000000000000002;TJAL|8183|355|3369
TJAM;G1;111;4789;9559;0.23076923076923078;TJAM|4789|111|9559
TJAM;G1;111;4793;9559;0.28571428571428564;TJAM|4793|111|9559
TJAM;G1;111;4797;7681;0.5573770491803279;TJAM|4797|111|7681
TJAM;G1;112;5091;6239;0.125;TJAM|5091|112|6239
TJAM;G1;157;4789;10670;0.18750000000000003;TJAM|4789|157|10670
TJAM;G1;1682;5079;4701;0.23809523809523805;TJAM|5079|1682|4701
TJAM;G1;183;5091;9196;0.1111111111111111;TJAM|5091|183|9196
TJAM;G1;261;74447;10500;0.16666666666666669;TJAM|74447|261|10500
TJAM;G1;261;74447;10671;0.10000000000000002;TJAM|74447|261|10671
TJAM;G1;261;74447;7780;0.16666666666666669;TJAM|74447|261|7780
TJAM;G1;261;74447;9160;0.16666666666666666;TJAM|74447|261|9160
TJAM;G1;278;4835;10508;0.3333333333333333;TJAM|4835|278|10508
TJAM;G1;278;4835;3632;0.3333333333333333;TJAM|4835|278|3632
TJAM;G1;278;4835;9895;0.3333333333333333;TJAM|4835|278|9895
TJAM;G1;279;76533;10750;0.10526315789473685;TJAM|76533|279|10750
TJAM;G1;279;76533;10949;0.1111111111111111;TJAM|76533|279|10949
TJAM;G1;279;76533;3370;0.13636363636363638;TJAM|76533|279|3370
TJAM;G1;279;76533;3372;0.10526315789473685;TJAM|76533|279|3372
TJAM;G1;279;76533;3420;0.14285714285714288;TJAM|76533|279|3420
TJAM;G1;279;76533;3431;0.16666666666666666;TJAM|76533|279|3431
TJAM;G1;279;76533;3532;0.10000000000000002;TJAM|76533|279|3532
TJAM;G1;279;76533;3533;0.16666666666666669;TJAM|76533|279|3533
TJAM;G1;279;76533;3608;0.14285714285714288;TJAM|76533|279|3608
TJAM;G1;279;76533;3632;0.125;TJAM|76533|279|3632
TJAM;G1;279;76533;9880;0.14285714285714288;TJAM|76533|279|9880
TJAM;G1;280;4804;4355;0.1111111111111111;TJAM|4804|280|4355
TJAM;G1;355;74447;10949;0.16666666666666666;TJAM|74447|355|10949
TJAM;G1;355;74447;11417;0.16666666666666669;TJAM|74447|355|11417
TJAM;G1;355;74447;287;0.13235294117647062;TJAM|74447|355|287
TJAM;G1;355;74447;3386;0.16666666666666669;TJAM|74447|355|3386
TJAM;G1;355;74447;3416;0.16666666666666666;TJAM|74447|355|3416
TJAM;G1;355;74447;3417;0.16666666666666669;TJAM|74447|355|3417
TJAM;G1;355;74447;3419;0.16666666666666669;TJAM|74447|355|3419
TJAM;G1;355;74447;3435;0.16666666666666669;TJAM|74447|355|3435
TJAM;G1;355;74447;3443;0.2;TJAM|74447|355|3443
TJAM;G1;355;74447;3465;0.16666666666666669;TJAM|74447|355|3465
TJAM;G1;355;74447;3608;0.16666666666666666;TJAM|74447|355|3608
TJAM;G1;355;74447;5566;0.16666666666666666;TJAM|74447|355|5566
TJAM;G1;37;4789;9163;0.27272727272727276;TJAM|4789|37|9163
TJAM;G1;39;5078;7687;0.24;TJAM|5078|39|7687
TJAM;G1;7;4782;899;0.6666666666666666;TJAM|4782|7|899
TJAM;G1;7;4841;14;0.2222222222222222;TJAM|4841|7|14
TJAM;G1;7;5078;4949;0.125;TJAM|5078|7|4949
TJAM;G1;7;5120;7677;0.26315789473684215;TJAM|5120|7|7677
TJAM;G1;74;5094;7687;0.16326530612244897;TJAM|5094|74|7687
TJAM;G1;98;5094;7664;0.1458333333333333;TJAM|5094|98|7664
TJAM;JE;12154;4908;10462;0.14285714285714288;TJAM|4908|12154|10462
