MOVIMENTO;NATUREZA;GRAU;RELEVANCIA;FASE;
1002 - Concessão - Progressão de regime ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1003 - Declaração - Remição ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1004 - Revogação - Livramento Condicional ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1008 - Decisão - Autorização ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1009 - Autorização - Trabalho Externo ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1010 - Autorização - Saída Temporária ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1013 - Decisão - Determinação ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1014 - Determinação - Regressão de Regime ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1015 - Determinação - Suspensão do Processo ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1016 - Revogação - Suspensão Condicional da Pena ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1017 - Concessão - Suspensão Condicional da Pena ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1018 - Autorização - Transferência para outro Estabelecimento Penal ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
1019 - Autorização - Transferência da Execução da Pena ;CRIMINAL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
104 - Serventuário - Oficial de Justiça ;;;0;;
1042 - Extinção da Punibilidade - Morte do agente ;CRIMINAL;;1;;ENCERRA QUALQUER FASE
1043 - Extinção da Punibilidade - Anistia, graça ou indulto ;CRIMINAL;;1;;ENCERRA QUALQUER FASE
1044 - Extinção da Punibilidade - Retroatividade de lei ;CRIMINAL;;1;;ENCERRA QUALQUER FASE
1045 - Extinção da Punibilidade - Prescrição, decadência ou perempção ;CRIMINAL;;1;;ENCERRA QUALQUER FASE
1046 - Extinção da Punibilidade - Renúncia do queixoso ou perdão aceito ;CRIMINAL;;1;;ENCERRA QUALQUER FASE
1047 - Extinção da Punibilidade - Retratação do agente ;CRIMINAL;;1;;ENCERRA QUALQUER FASE
1048 - Extinção da Punibilidade - Perdão judicial ;CRIMINAL;;1;;ENCERRA QUALQUER FASE
1049 - Extinção da Punibilidade - Pagamento integral do débito ;CRIMINAL;;1;;ENCERRA QUALQUER FASE
1050 - Extinção da Punibilidade - Cumprimento da Pena ;CRIMINAL;;1;;ENCERRA QUALQUER FASE
1051 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Decurso de Prazo ;;;0;;
1053 - Bens Apreendidos - Destinação ;;;0;;
1054 - Bens Apreendidos - Destinação Parcial ;;;0;;
1055 - Bens Apreendidos - Cadastramento ;;;0;;
