codtribunal;cod_orgao_julg;Classificacao_cluster
TJAC;11674;3
TJAC;11674;3
TJAC;11674;3
TJAC;17051;5
TJAC;3604;3
TJAC;3604;3
TJAC;3608;0
TJAC;3612;0
TJAC;3612;0
TJAC;3612;0
TJAC;3612;0
TJAC;3613;0
TJAC;3613;0
TJAC;3613;0
TJAC;3613;0
TJAC;3621;5
TJAC;3622;5
TJAC;3623;5
TJAC;3623;5
TJAC;3624;5
TJAC;3624;5
TJAC;3639;5
TJAC;8153;0
TJAC;8153;0
TJAC;8153;0
TJAC;8153;0
TJAC;8155;0
TJAC;8155;0
TJAC;8155;0
TJAC;33549;5
TJAC;33550;5
TJAC;11674;3
TJAC;11674;3
TJAC;3604;3
TJAC;3604;3
TJAC;3608;0
TJAC;3608;0
TJAC;3608;0
TJAC;3639;5
TJAC;3639;5
TJAC;3641;5
TJAC;3641;5
TJAC;3642;5
TJAC;3642;5
TJAC;8153;0
TJAC;8153;0
TJAC;8155;0
TJAC;8155;0
TJAC;8155;0
TJAC;33567;5
TJAC;33572;5
TJAL;6330;5
TJAL;6696;5
TJAL;6704;5
TJAL;6710;5
TJAM;4780;1
TJAM;4781;1
TJAM;4782;1
TJAM;4784;1
TJAM;4785;1
TJAM;4786;1
TJAM;4787;1
TJAM;4788;1
TJAM;4789;1
TJAM;4790;1
TJAM;4791;1
TJAM;4792;1
TJAM;4793;1
TJAM;4794;1
TJAM;4795;1
TJAM;4796;1
TJAM;4797;1
TJAM;4798;1
TJAM;4799;1
TJAM;11738;1
TJAM;13092;0
TJAM;13092;0
TJAM;13092;0
TJAM;13092;0
TJAM;4906;1
TJAM;4906;1
TJAM;4907;1
TJAM;4907;1
TJAM;4908;1
TJAM;4908;1
TJAM;5060;5
TJAM;5060;5
TJAM;5060;5
TJAM;5063;0
TJAM;5063;0
TJAM;5067;0
TJAP;13716;5
TJAP;13716;5
TJAP;13716;5
TJAP;13716;5
TJAP;13718;5
TJAP;13718;5
TJAP;13718;5
TJAP;6165;5
TJAP;6165;5
TJAP;6165;5
TJAP;6165;5
TJAP;6165;5
TJAP;6165;5
TJAP;6409;5
TJAP;6409;5
TJAP;6409;5
TJAP;6410;5
TJAP;6410;5
TJAP;6410;5
TJAP;6410;5
TJAP;6410;5
TJAP;6414;5
TJAP;43929;5
TJAP;43929;5
TJAP;43929;5
TJAP;13716;5
TJAP;13716;5
TJAP;13716;5
TJAP;13718;5
TJAP;13718;5
TJAP;13718;5
TJAP;16268;5
TJAP;16268;5
TJAP;16272;5
TJAP;16272;5
TJAP;16273;5
TJAP;16273;5
TJAP;16276;5
TJAP;16276;5
TJAP;43865;5
TJAP;43865;5
TJAP;6165;5
TJAP;6165;5
TJAP;6401;5
TJAP;6401;5
TJAP;6402;5
TJAP;6402;5
TJAP;6409;5
TJAP;6409;5
TJAP;6410;5
TJAP;6410;5
TJAP;6414;5
TJAP;6414;5
TJAP;6414;5
TJAP;6414;5
TJBA;17163;1
TJBA;17166;1
TJBA;17171;1
TJBA;17176;1
TJBA;17178;1
TJBA;17180;2
TJBA;17185;2
TJBA;17189;1
TJBA;4139;1
TJBA;4564;2
TJBA;5216;2
TJBA;5272;2
TJBA;6486;2
TJBA;49969;1
TJBA;49974;1
TJBA;49982;1
TJBA;17072;2
TJBA;17073;2
TJBA;17073;2
TJBA;17092;1
TJBA;17092;1
TJBA;17094;1
TJBA;17094;1
TJBA;17096;7
TJBA;17129;1
TJBA;17129;1
TJBA;17129;1
TJBA;17130;1
TJBA;17130;1
TJBA;17219;2
TJBA;17873;1
TJBA;18544;1
TJBA;18556;0
TJBA;18556;0
TJBA;6075;2
TJBA;6433;7
TJBA;6451;0
TJBA;6451;0
TJBA;7835;2
TJBA;7835;2
TJBA;7836;2
TJBA;7843;1
TJBA;7849;1
TJBA;7851;2
TJBA;7853;2
TJBA;7853;2
TJBA;7855;1
TJBA;8225;2
TJBA;8225;2
TJBA;49954;1
TJBA;49959;1
TJBA;49962;1
TJBA;49964;1
TJBA;49965;1
TJBA;70846;1
TJCE;11008;1
TJCE;11008;1
TJCE;12916;4
TJCE;12916;4
TJCE;13402;2
TJCE;13402;2
TJCE;13977;1
TJCE;13977;1
TJCE;14169;4
TJCE;14169;4
TJCE;14320;1
TJCE;16957;2
TJCE;78398;7
TJCE;8451;1
TJCE;8549;7
TJCE;8562;2
TJCE;8566;2
TJCE;8566;2
TJCE;8714;2
TJCE;8714;2
TJCE;8714;2
TJCE;8735;3
TJCE;8745;7
TJCE;50925;2
TJCE;81593;1
TJCE;81594;1
TJCE;81595;1
TJCE;81596;1
TJCE;81597;1
TJCE;81598;1
TJCE;81599;1
TJCE;50865;2
TJCE;50865;2
TJCE;79734;2
TJCE;79735;1
TJCE;79736;1
TJCE;79737;1
TJCE;79737;1
TJCE;79738;2
TJCE;79738;2
TJCE;79739;1
TJCE;79740;1
TJCE;79742;1
TJCE;79742;1
TJCE;79743;2
TJCE;79744;1
TJCE;79744;1
TJCE;79745;2
TJCE;79745;2
TJCE;79746;1
TJCE;79746;1
TJCE;79747;1
TJCE;79747;1
TJCE;79748;1
TJCE;79748;1
TJCE;79749;1
TJCE;79749;1
TJCE;79751;2
TJCE;79752;1
TJCE;79752;1
TJCE;79753;1
TJCE;79753;1
TJCE;79761;1
TJCE;79761;1
TJCE;79761;1
TJCE;79762;1
TJCE;79762;1
TJCE;8412;7
TJCE;8443;2
TJCE;8608;0
TJCE;8608;0
TJCE;8626;1
TJCE;8626;1
TJCE;8838;2
TJCE;50867;1
TJCE;50867;1
TJCE;50868;1
TJCE;50868;1
TJCE;72208;1
TJDFT;13596;1
TJDFT;14145;2
TJDFT;14146;2
TJDFT;14147;1
TJDFT;14148;2
TJDFT;16468;2
TJDFT;6549;1
TJDFT;6551;1
TJDFT;6553;1
TJDFT;6558;1
TJDFT;6560;1
TJDFT;6563;1
TJDFT;6564;1
TJDFT;6566;1
TJDFT;6567;1
TJDFT;6571;1
TJDFT;6574;1
TJDFT;6576;1
TJDFT;6579;1
TJDFT;6584;1
TJDFT;6586;1
TJDFT;6590;1
TJDFT;6594;1
TJDFT;6597;1
TJDFT;6600;1
TJDFT;6604;1
TJDFT;6739;1
TJDFT;6752;1
TJDFT;6752;1
TJDFT;6755;1
TJDFT;6756;1
TJDFT;6756;1
TJDFT;6760;1
TJDFT;6760;1
TJDFT;6767;1
TJDFT;6767;1
TJDFT;6771;1
TJDFT;6772;1
TJDFT;6772;1
TJDFT;6775;1
TJDFT;6775;1
TJDFT;6777;1
TJDFT;6778;1
TJDFT;67853;1
TJDFT;67854;1
TJDFT;81325;1
TJDFT;81390;1
TJDFT;81391;1
TJDFT;81392;1
TJDFT;14328;1
TJDFT;14328;1
TJDFT;16816;1
TJDFT;16817;1
TJDFT;16818;1
TJDFT;16819;1
TJDFT;16914;1
TJDFT;17837;1
TJDFT;43142;1
TJDFT;43142;1
TJDFT;60795;1
TJDFT;60795;1
TJDFT;72831;1
TJDFT;72832;1
TJDFT;76528;1
TJDFT;43160;1
TJDFT;43160;1
TJDFT;6655;1
TJDFT;6658;1
TJDFT;6663;1
TJDFT;6672;1
TJDFT;6672;1
TJDFT;6674;1
TJDFT;6681;1
TJDFT;6681;1
TJDFT;43157;1
TJDFT;43158;1
TJDFT;43158;1
TJDFT;43159;1
TJDFT;43159;1
TJES;2495;3
TJES;453;3
TJES;2474;2
TJES;2474;2
TJGO;11401;2
TJGO;11403;1
TJGO;11413;2
TJGO;11415;2
TJGO;11448;2
TJGO;11448;2
TJGO;11472;2
TJGO;11474;2
TJGO;11481;7
TJGO;11481;7
TJGO;11507;3
TJGO;11576;2
TJGO;13307;4
TJGO;13308;2
TJGO;13308;2
TJGO;13578;4
TJGO;13838;2
TJGO;13839;1
TJGO;16429;2
TJGO;16431;2
TJGO;78732;1
TJGO;78737;1
TJGO;78739;1
TJGO;78742;2
TJGO;78743;1
TJGO;78745;2
TJGO;78747;2
TJGO;78748;2
TJGO;79346;2
TJGO;11485;2
TJMA;2852;1
TJMA;2868;1
TJMA;2868;1
TJMA;2868;1
TJMA;19939;1
TJMA;19939;1
TJMA;19942;1
TJMA;19943;1
TJMA;19944;1
TJMA;19945;1
TJMA;19946;1
TJMA;77702;1
TJMG;11228;6
TJMG;11652;2
TJMG;3753;3
TJMG;3799;6
TJMG;3852;6
TJMG;3859;2
TJMG;3943;6
TJMG;3991;4
TJMG;4001;4
TJMG;4025;0
TJMG;40326;7
TJMG;4065;7
TJMG;4080;4
TJMG;4103;2
TJMG;4292;4
TJMG;4297;6
TJMG;4303;2
TJMG;5363;7
TJMG;5736;6
TJMG;6188;2
TJMG;81130;0
TJMG;10793;2
TJMG;10793;2
TJMG;10793;2
TJMG;10798;2
TJMG;11053;2
TJMG;11053;2
TJMG;11053;2
TJMG;11356;2
TJMG;11699;2
TJMG;12702;2
TJMG;13375;6
TJMG;13375;6
TJMG;13375;6
TJMG;17296;6
TJMG;34853;7
TJMG;3917;3
TJMG;40011;6
TJMG;40024;7
TJMG;40063;7
TJMG;40102;0
TJMG;40102;0
TJMG;40102;0
TJMG;40326;7
TJMG;4078;0
TJMG;4078;0
TJMG;4097;7
TJMG;4223;5
TJMG;4285;2
TJMG;4334;0
TJMG;4334;0
TJMG;5293;5
TJMG;5293;5
TJMG;5378;0
TJMG;5378;0
TJMG;5378;0
TJMG;5385;5
TJMG;5385;5
TJMG;5385;5
TJMG;5459;6
TJMG;5459;6
TJMG;5459;6
TJMG;5564;5
TJMG;5564;5
TJMG;5620;6
TJMG;5727;2
TJMG;5727;2
TJMG;5727;2
TJMG;5817;6
TJMG;6138;6
TJMG;6138;6
TJMG;6138;6
TJMT;11234;1
TJMT;18001;4
TJMT;48509;1
TJMT;6295;1
TJMT;6315;1
TJMT;6317;1
TJMT;6319;1
TJMT;6322;1
TJMT;6325;1
TJMT;6341;1
TJMT;6342;1
TJMT;6343;1
TJMT;6343;1
TJMT;6344;1
TJMT;6346;1
TJMT;6377;0
TJMT;6377;0
TJMT;6377;0
TJMT;6500;1
TJMT;6501;1
TJMT;6502;1
TJMT;6502;1
TJMT;6505;1
TJMT;6565;0
TJMT;6565;0
TJMT;6610;1
TJMT;6610;1
TJMT;6647;2
TJMT;6713;0
TJMT;6713;0
TJMT;6718;0
TJMT;6718;0
TJMT;6801;0
TJMT;6801;0
TJMT;6801;0
TJMT;7236;1
TJMT;7290;4
TJMT;7322;1
TJMT;7327;1
TJMT;7328;1
TJMT;7330;1
TJMT;7368;2
TJMT;7372;4
TJMT;7390;4
TJMT;7400;4
TJMT;7487;1
TJMT;7487;1
TJMT;7487;1
TJMT;7496;1
TJMT;7496;1
TJMT;7496;1
TJMT;7556;0
TJMT;7556;0
TJMT;7556;0
TJMT;7617;4
TJMT;7617;4
TJMT;7627;2
TJMT;7627;2
TJMT;7627;2
TJMT;7737;0
TJMT;7737;0
TJMT;7737;0
TJMT;7741;0
TJMT;7741;0
TJMT;7759;4
TJMT;7759;4
TJMT;7761;4
TJMT;7761;4
TJMT;7776;7
TJMT;7776;7
TJMT;7776;7
TJMT;7776;7
TJMT;7779;4
TJMT;7779;4
TJMT;7780;2
TJMT;7780;2
TJMT;7780;2
TJMT;7781;4
TJMT;8074;2
TJMT;8074;2
TJMT;8074;2
TJMT;8075;2
TJMT;8075;2
TJMT;8075;2
TJMT;48625;2
TJMT;48643;2
TJMT;81012;2
TJMT;81413;2
TJMT;81413;2
TJMT;48509;1
TJMT;48509;1
TJMT;51807;1
TJMT;51808;1
TJMT;51808;1
TJMT;51809;1
TJMT;51809;1
TJMT;51810;1
TJMT;51810;1
TJMT;6493;1
TJMT;6493;1
TJMT;6495;1
TJMT;6495;1
TJMT;6496;1
TJMT;6496;1
TJMT;6498;1
TJMT;6498;1
TJMT;6678;1
TJMT;6678;1
TJMT;6687;1
TJMT;6687;1
TJMT;6723;7
TJMT;6723;7
TJMT;6802;0
TJMT;6802;0
TJMT;6802;0
TJMT;6802;0
TJMT;7245;2
TJMT;7311;4
TJMT;7338;1
TJMT;7338;1
TJMT;7338;1
TJMT;7381;4
TJMT;7381;4
TJMT;7433;4
TJMT;7433;4
TJMT;7765;4
TJMT;7778;7
TJMT;7778;7
TJMT;7778;7
TJMT;77960;1
TJMT;8245;2
TJMT;8245;2
TJMT;48732;2
TJMT;48735;2
TJMT;51792;1
TJPA;17356;1
TJPA;17356;1
TJPA;17356;1
TJPA;17904;2
TJPA;23116;1
TJPA;23116;1
TJPA;2793;1
TJPA;2793;1
TJPA;2795;1
TJPA;2796;1
TJPA;2798;1
TJPA;2799;1
TJPA;2801;1
TJPA;2801;1
TJPA;2803;1
TJPA;2805;1
TJPA;2808;1
TJPA;2808;1
TJPA;2810;1
TJPA;2813;2
TJPA;2817;1
TJPA;2866;1
TJPA;2871;1
TJPA;2874;1
TJPA;2874;1
TJPA;3145;2
TJPA;3147;0
TJPA;3147;0
TJPA;3147;0
TJPA;3147;0
TJPA;3147;0
TJPA;3151;7
TJPA;3151;7
TJPA;3151;7
TJPA;3157;1
TJPA;5359;1
TJPA;5359;1
TJPA;5359;1
TJPA;5362;1
TJPA;5362;1
TJPA;5437;1
TJPA;5446;2
TJPA;5446;2
TJPA;5476;0
TJPA;5483;7
TJPA;5483;7
TJPA;5504;0
TJPA;5504;0
TJPA;6056;2
TJPA;6056;2
TJPA;6105;0
TJPA;6105;0
TJPA;6105;0
TJPA;6105;0
TJPA;6211;3
TJPA;6211;3
TJPA;6211;3
TJPA;6442;0
TJPA;6442;0
TJPA;6456;1
TJPA;6456;1
TJPA;6457;1
TJPA;6457;1
TJPA;6457;1
TJPA;6458;1
TJPA;6458;1
TJPA;6458;1
TJPA;6472;7
TJPA;6472;7
TJPA;6472;7
