codtribunal;grau;cod_orgao_julg;tipo_justica;descricao;uf;Porte_Municipio;PIB_percapita;tipo_processo;Porte_Tribunal;Atuacao_Vara;Classificacao_Acervo_2;mediana;qtd_npu;num_dias
TJAC;G1;11674;Estadual;VARA CÍVEL;AC;Pequeno_Porte;9634.33984375;Civel;PEQUENO;Civel Pura;Acervo Grande;626;52;38983
TJAC;G1;11674;Estadual;VARA CÍVEL;AC;Pequeno_Porte;9634.33984375;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;935;21;23059
TJAC;G1;11674;Estadual;VARA CÍVEL;AC;Pequeno_Porte;9634.33984375;Família;PEQUENO;Civel Pura;Acervo Grande;209;12;4112
TJAC;G1;14075;Estadual;VARA DE EXECUÇÕES PENAS E MEDIDAS ALTERNATIVAS;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;1041;79;95393
TJAC;G1;16317;Estadual;VARA ÚNICA;AC;Pequeno_Porte;8538.91015625;Civel;PEQUENO;Geral;Acervo Grande;1869;2;4284
TJAC;G1;16317;Estadual;VARA ÚNICA;AC;Pequeno_Porte;8538.91015625;Criminal;PEQUENO;Geral;Acervo Grande;1266;2;3828
TJAC;G1;17049;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9114.25;Civel;PEQUENO;Geral;Acervo Grande;498;24;15104
TJAC;G1;17049;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9114.25;Criminal;PEQUENO;Geral;Acervo Grande;777;31;24777
TJAC;G1;17049;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9114.25;Execução Fiscal;PEQUENO;Geral;Acervo Grande;511;26;22410
TJAC;G1;17049;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9114.25;Família;PEQUENO;Geral;Acervo Grande;217;14;5317
TJAC;G1;17050;Estadual;VARA ÚNICA;AC;Pequeno_Porte;11209.79003906;Civel;PEQUENO;Geral;Acervo Grande;1961;8;12614
TJAC;G1;17050;Estadual;VARA ÚNICA;AC;Pequeno_Porte;11209.79003906;Criminal;PEQUENO;Geral;Acervo Grande;1957;10;18468
TJAC;G1;17050;Estadual;VARA ÚNICA;AC;Pequeno_Porte;11209.79003906;Execução Fiscal;PEQUENO;Geral;Acervo Grande;1912;1;1912
TJAC;G1;17050;Estadual;VARA ÚNICA;AC;Pequeno_Porte;11209.79003906;Família;PEQUENO;Geral;Acervo Grande;2024;3;5744
TJAC;G1;17051;Estadual;ª VARA CÍVEL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;175;3;526
