codtribunal;grau;cod_orgao_julg;tipo_justica;descricao;uf;Porte_Municipio;PIB_percapita;tipo_processo;Porte_Tribunal;Atuacao_Vara;Classificacao_Acervo_2;Median(numero_dias);Count*(npu);Sum(numero_dias)
TJAC;G1;11674;Estadual;VARA CÍVEL;AC;Pequeno;963.433.984.375;Civel;PEQUENO;Civel Pura;Acervo Grande;195;88;50482
TJAC;G1;11674;Estadual;VARA CÍVEL;AC;Pequeno;963.433.984.375;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;1983;35;69329
TJAC;G1;11674;Estadual;VARA CÍVEL;AC;Pequeno;963.433.984.375;Família;PEQUENO;Civel Pura;Acervo Grande;156;19;4766
TJAC;G1;14075;Estadual;VARA DE EXECUÇÕES PENAS E MEDIDAS ALTERNATIVAS;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;1265;99;156959
TJAC;G1;16317;Estadual;VARA ÚNICA;AC;Pequeno;853.891.015.625;Civel;PEQUENO;Geral;Acervo Grande;43;15;10830
TJAC;G1;16317;Estadual;VARA ÚNICA;AC;Pequeno;853.891.015.625;Criminal;PEQUENO;Geral;Acervo Grande;27;29;4780
TJAC;G1;16317;Estadual;VARA ÚNICA;AC;Pequeno;853.891.015.625;Execução Fiscal;PEQUENO;Geral;Acervo Grande;2687;1;2687
TJAC;G1;16426;Estadual;ª VARA DO TRIBUNAL DO JÚRI E AUDITORIA MILITAR;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Médio;58;2;157
TJAC;G1;17049;Estadual;VARA ÚNICA;AC;Pequeno;9114.25;Civel;PEQUENO;Geral;Acervo Grande;234;48;19573
TJAC;G1;17049;Estadual;VARA ÚNICA;AC;Pequeno;9114.25;Criminal;PEQUENO;Geral;Acervo Grande;74;76;29065
TJAC;G1;17049;Estadual;VARA ÚNICA;AC;Pequeno;9114.25;Execução Fiscal;PEQUENO;Geral;Acervo Grande;1431;42;71028
TJAC;G1;17049;Estadual;VARA ÚNICA;AC;Pequeno;9114.25;Família;PEQUENO;Geral;Acervo Grande;48;75;8060
TJAC;G1;17050;Estadual;VARA ÚNICA;AC;Pequeno;1.120.979.003.906;Civel;PEQUENO;Geral;Acervo Grande;1961;16;25055
TJAC;G1;17050;Estadual;VARA ÚNICA;AC;Pequeno;1.120.979.003.906;Criminal;PEQUENO;Geral;Acervo Grande;99;27;25211
TJAC;G1;17050;Estadual;VARA ÚNICA;AC;Pequeno;1.120.979.003.906;Execução Fiscal;PEQUENO;Geral;Acervo Grande;1912;2;4850
TJAC;G1;17050;Estadual;VARA ÚNICA;AC;Pequeno;1.120.979.003.906;Família;PEQUENO;Geral;Acervo Grande;2024;3;5744
TJAC;G1;17050;Estadual;VARA ÚNICA;AC;Pequeno;1.120.979.003.906;Fazenda;PEQUENO;Geral;Acervo Grande;3224;1;3224
TJAC;G1;17051;Estadual;ª VARA CÍVEL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Civel Pura;Acervo Grande;100;13;1272
TJAC;G1;17052;Estadual;VARA DE EXECUÇÃO FISCAL;AC;Grande;1.254.230.957.031;Execução Fiscal;PEQUENO;Execucao fiscal;Acervo Grande;1078;64;70001
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno;996.500.976.562;Civel;PEQUENO;Geral;Acervo Grande;341;43;25590
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno;996.500.976.562;Criminal;PEQUENO;Geral;Acervo Grande;159;54;27613
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno;996.500.976.562;Execução Fiscal;PEQUENO;Geral;Acervo Grande;1087;8;9599
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno;996.500.976.562;Família;PEQUENO;Geral;Acervo Grande;246;6;1940
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno;996.500.976.562;Fazenda;PEQUENO;Geral;Acervo Grande;1609;9;16185
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno;996.500.976.562;Sucessões;PEQUENO;Geral;Acervo Grande;1199;2;2823
TJAC;G1;33547;Estadual;VARA ÚNICA;AC;Pequeno;1.137.961.035.156;Criminal;PEQUENO;Geral;Acervo Médio;70;2;164
TJAC;G1;33547;Estadual;VARA ÚNICA;AC;Pequeno;1.137.961.035.156;Família;PEQUENO;Geral;Acervo Médio;151;1;151
TJAC;G1;3588;Estadual;VARA CRIMINAL;AC;Pequeno;963.433.984.375;Criminal;PEQUENO;Criminal Pura;Acervo Grande;64;73;43319
TJAC;G1;3591;Estadual;CENTRAL DE EXECUÇÕES DE PENAS ALTERNATIVAS;AC;Pequeno;963.433.984.375;Criminal;PEQUENO;Criminal Pura;Acervo Grande;792;51;42364
TJAC;G1;3604;Estadual;VARA CÍVEL;AC;Pequeno;1.102.471.972.656;Civel;PEQUENO;Civel Pura;Acervo Grande;73;58;31788
TJAC;G1;3604;Estadual;VARA CÍVEL;AC;Pequeno;1.102.471.972.656;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;2160;4;9982
TJAC;G1;3604;Estadual;VARA CÍVEL;AC;Pequeno;1.102.471.972.656;Família;PEQUENO;Civel Pura;Acervo Grande;45;1;45
TJAC;G1;3605;Estadual;VARA CRIMINAL;AC;Pequeno;1.102.471.972.656;Criminal;PEQUENO;Criminal Pura;Acervo Grande;64;52;32181
TJAC;G1;3608;Estadual;VARA CÍVEL;AC;M�dio;1.027.362.988.281;Civel;PEQUENO;Civel Pura;Acervo Grande;136;2;281
TJAC;G1;3609;Estadual;VARA CRIMINAL;AC;M�dio;1.027.362.988.281;Criminal;PEQUENO;Criminal Pura;Acervo Grande;27;74;25545
TJAC;G1;3612;Estadual;ª VARA CÍVEL;AC;M�dio;888.719.042.969;Civel;PEQUENO;Civel Pura;Acervo Grande;549;129;81707
TJAC;G1;3612;Estadual;ª VARA CÍVEL;AC;M�dio;888.719.042.969;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;784;27;23947
TJAC;G1;3612;Estadual;ª VARA CÍVEL;AC;M�dio;888.719.042.969;Família;PEQUENO;Civel Pura;Acervo Grande;161;14;3025
TJAC;G1;3612;Estadual;ª VARA CÍVEL;AC;M�dio;888.719.042.969;Fazenda;PEQUENO;Civel Pura;Acervo Grande;1181;19;23765
TJAC;G1;3613;Estadual;ª VARA CÍVEL;AC;M�dio;888.719.042.969;Civel;PEQUENO;Civel Pura;Acervo Grande;726;118;95627
TJAC;G1;3613;Estadual;ª VARA CÍVEL;AC;M�dio;888.719.042.969;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;1327;83;131450
TJAC;G1;3613;Estadual;ª VARA CÍVEL;AC;M�dio;888.719.042.969;Família;PEQUENO;Civel Pura;Acervo Grande;216;49;16930
TJAC;G1;3613;Estadual;ª VARA CÍVEL;AC;M�dio;888.719.042.969;Sucessões;PEQUENO;Civel Pura;Acervo Grande;539;5;5212
TJAC;G1;3614;Estadual;ª VARA CRIMINAL;AC;M�dio;888.719.042.969;Criminal;PEQUENO;Criminal Pura;Acervo Grande;236;130;84511
TJAC;G1;3615;Estadual;ª VARA CRIMINAL;AC;M�dio;888.719.042.969;Criminal;PEQUENO;Criminal Pura;Acervo Grande;197;162;68101
TJAC;G1;3621;Estadual;ª VARA CÍVEL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Civel Pura;Acervo Grande;526;569;464737
TJAC;G1;3621;Estadual;ª VARA CÍVEL;AC;Grande;1.254.230.957.031;Fazenda;PEQUENO;Civel Pura;Acervo Grande;110;1;110
TJAC;G1;3622;Estadual;ª VARA CÍVEL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Civel Pura;Acervo Grande;731;523;503560
TJAC;G1;3623;Estadual;ª VARA CÍVEL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Civel Pura;Acervo Grande;752;519;485422
TJAC;G1;3623;Estadual;ª VARA CÍVEL;AC;Grande;1.254.230.957.031;Fazenda;PEQUENO;Civel Pura;Acervo Grande;2335;1;2335
TJAC;G1;3624;Estadual;ª VARA CÍVEL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Civel Pura;Acervo Grande;415;503;355152
TJAC;G1;3624;Estadual;ª VARA CÍVEL;AC;Grande;1.254.230.957.031;Fazenda;PEQUENO;Civel Pura;Acervo Grande;2024;8;17275
TJAC;G1;3625;Estadual;ª VARA CRIMINAL;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;356;237;166106
TJAC;G1;3626;Estadual;Vara de Delitos de Organizações Criminosas;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;286;204;140244
TJAC;G1;3627;Estadual;ª VARA CRIMINAL;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;136;214;154335
TJAC;G1;3628;Estadual;ª VARA CRIMINAL;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;195;239;143482
TJAC;G1;3629;Estadual;VARA DE EXECUÇÕES PENAIS;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Médio;2530;15;40163
TJAC;G1;3632;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Fazenda;Acervo Grande;512;68;51764
TJAC;G1;3632;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande;1.254.230.957.031;Execução Fiscal;PEQUENO;Fazenda;Acervo Grande;754;379;413835
TJAC;G1;3632;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande;1.254.230.957.031;Fazenda;PEQUENO;Fazenda;Acervo Grande;695;6;5746
