cod_movimento;cod_fase;fase
193;1;F0 - NÃO CLASSIFICADO
218;2;F1 - CONHECIMENTO
900;3;F2 - RECURSO
973;1;F0 - NÃO CLASSIFICADO
455;2;F1 - CONHECIMENTO
444;2;F1 - CONHECIMENTO
446;2;F1 - CONHECIMENTO
1045;1;F0 - NÃO CLASSIFICADO
1044;1;F0 - NÃO CLASSIFICADO
459;2;F1 - CONHECIMENTO
460;2;F1 - CONHECIMENTO
235;3;F2 - RECURSO
466;2;F1 - CONHECIMENTO
83;1;F0 - NÃO CLASSIFICADO
1013;4;F3 - CUMPRIMENTO DE SENTENÇA
1009;4;F3 - CUMPRIMENTO DE SENTENÇA
988;4;F3 - CUMPRIMENTO DE SENTENÇA
383;4;F3 - CUMPRIMENTO DE SENTENÇA
1003;4;F3 - CUMPRIMENTO DE SENTENÇA
1015;4;F3 - CUMPRIMENTO DE SENTENÇA
432;3;F2 - RECURSO
393;2;F1 - CONHECIMENTO
1060;3;F2 - RECURSO
404;2;F1 - CONHECIMENTO
1059;3;F2 - RECURSO
221;2;F1 - CONHECIMENTO
11408;2;F1 - CONHECIMENTO
11402;2;F1 - CONHECIMENTO
1002;4;F3 - CUMPRIMENTO DE SENTENÇA
381;3;F2 - RECURSO
394;3;F2 - RECURSO
884;2;F1 - CONHECIMENTO
11395;2;F1 - CONHECIMENTO
11423;2;F1 - CONHECIMENTO
11425;2;F1 - CONHECIMENTO
237;3;F2 - RECURSO
239;3;F2 - RECURSO
242;3;F2 - RECURSO
311;4;F3 - CUMPRIMENTO DE SENTENÇA
430;3;F2 - RECURSO
433;3;F2 - RECURSO
11394;2;F1 - CONHECIMENTO
11554;4;F3 - CUMPRIMENTO DE SENTENÇA
11792;4;F3 - CUMPRIMENTO DE SENTENÇA
12028;2;F1 - CONHECIMENTO
11877;2;F1 - CONHECIMENTO
11405;2;F1 - CONHECIMENTO
1047;1;F0 - NÃO CLASSIFICADO
202;2;F1 - CONHECIMENTO
11795;2;F1 - CONHECIMENTO
