COD;DESCRICAO;CODUF;DESCUF;SIGLAUF;LONGITUDE;LATITUDE
1100015;ALTA FLORESTA D'OESTE;11;RONDÔNIA;RO;-61,9998239;-11,9355403
1100023;ARIQUEMES;11;RONDÔNIA;RO;-63,03326928;-9,908462867
1100031;CABIXI;11;RONDÔNIA;RO;-60,54431358;-13,49976346
1100049;CACOAL;11;RONDÔNIA;RO;-61,44294421;-11,43386503
1100056;CEREJEIRAS;11;RONDÔNIA;RO;-60,81842616;-13,19503303
1100064;COLORADO DO OESTE;11;RONDÔNIA;RO;-60,55506746;-13,13056384
1100072;CORUMBIARA;11;RONDÔNIA;RO;-60,94870117;-12,99752024
1100080;COSTA MARQUES;11;RONDÔNIA;RO;-64,23165394;-12,43601388
1100098;ESPIGÃO D'OESTE;11;RONDÔNIA;RO;-61,02017311;-11,52855463
1100106;GUAJARÁ-MIRIM;11;RONDÔNIA;RO;-65,32395182;-10,77388374
1100114;JARU;11;RONDÔNIA;RO;-62,47623071;-10,43594877
1100122;JI-PARANÁ;11;RONDÔNIA;RO;-61,94509458;-10,88205132
1100130;MACHADINHO D'OESTE;11;RONDÔNIA;RO;-61,99959257;-9,42556248
1100148;NOVA BRASILÂNDIA D'OESTE;11;RONDÔNIA;RO;-62,30823016;-11,72132541
1100155;OURO PRETO DO OESTE;11;RONDÔNIA;RO;-62,26105519;-10,7235739
1100189;PIMENTA BUENO;11;RONDÔNIA;RO;-61,18366567;-11,67753699
1100205;PORTO VELHO;11;RONDÔNIA;RO;-63,83144565;-8,76889179
1100254;PRESIDENTE MÉDICI;11;RONDÔNIA;RO;-61,90943868;-11,17320502
1100262;RIO CRESPO;11;RONDÔNIA;RO;-62,90001037;-9,70553671
1100288;ROLIM DE MOURA;11;RONDÔNIA;RO;-61,78578094;-11,72225891
1100296;SANTA LUZIA D'OESTE;11;RONDÔNIA;RO;-61,77330546;-11,90842333
1100304;VILHENA;11;RONDÔNIA;RO;-60,13858387;-12,74137347
1100320;SÃO MIGUEL DO GUAPORÉ;11;RONDÔNIA;RO;-62,72006348;-11,69948974
1100338;NOVA MAMORÉ;11;RONDÔNIA;RO;-65,32914902;-10,41177129
1100346;ALVORADA D'OESTE;11;RONDÔNIA;RO;-62,27727487;-11,34413002
1100379;ALTO ALEGRE DOS PARECIS;11;RONDÔNIA;RO;-61,85307717;-12,13177722
1100403;ALTO PARAÍSO;11;RONDÔNIA;RO;-63,31762943;-9,716666738
1100452;BURITIS;11;RONDÔNIA;RO;-63,82967879;-10,20980541
1100502;NOVO HORIZONTE DO OESTE;11;RONDÔNIA;RO;-61,99438766;-11,70974292
1100601;CACAULÂNDIA;11;RONDÔNIA;RO;-62,90318993;-10,33887284
1100700;CAMPO NOVO DE RONDÔNIA;11;RONDÔNIA;RO;-63,62499143;-10,56841647
1100809;CANDEIAS DO JAMARI;11;RONDÔNIA;RO;-63,70002007;-8,785020703
1100908;CASTANHEIRAS;11;RONDÔNIA;RO;-61,9491612;-11,42684223
1100924;CHUPINGUAIA;11;RONDÔNIA;RO;-60,90184775;-12,55684076
1100940;CUJUBIM;11;RONDÔNIA;RO;-62,58717453;-9,378193399
1101005;GOVERNADOR JORGE TEIXEIRA;11;RONDÔNIA;RO;-62,74045764;-10,61207177
1101104;ITAPUÃ DO OESTE;11;RONDÔNIA;RO;-63,18233702;-9,191871675
1101203;MINISTRO ANDREAZZA;11;RONDÔNIA;RO;-61,51892193;-11,19623798
1101302;MIRANTE DA SERRA;11;RONDÔNIA;RO;-62,6694271;-11,04560929
1101401;MONTE NEGRO;11;RONDÔNIA;RO;-63,29555917;-10,26309776
1101435;NOVA UNIÃO;11;RONDÔNIA;RO;-62,5550894;-10,91553204
1101450;PARECIS;11;RONDÔNIA;RO;-61,59799797;-12,17982705
1101468;PIMENTEIRAS DO OESTE;11;RONDÔNIA;RO;-61,044379;-13,476562
1101476;PRIMAVERA DE RONDÔNIA;11;RONDÔNIA;RO;-61,31654624;-11,82570695
1101484;SÃO FELIPE D'OESTE;11;RONDÔNIA;RO;-61,51250811;-11,91438935
