cod_classe;cod_natureza
2;1
5;14
7;1
22;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
34;1
35;1
37;1
38;1
39;15
40;1
41;1
44;1
45;1
46;1
47;1
48;15
49;1
50;1
51;15
52;1
53;1
54;15
55;15
56;1
57;15
58;7
59;1
60;7
61;7
62;1
63;1
64;8
65;1
66;8
69;7
72;7
74;1
76;7
77;1
79;1
80;1
81;1
82;1
83;8
84;1
85;1
86;1
87;7
88;12
89;8
90;8
91;8
92;1
93;1
94;1
95;13
96;1
97;1
98;7
99;7
100;1
107;1
108;1
110;8
111;1
112;1
113;1
114;1
115;1
118;1
119;8
120;1
121;1
122;1
123;7
124;1
127;1
128;1
129;1
134;1
135;1
136;1
137;1
138;1
140;1
141;7
142;15
143;7
144;1
145;1
150;1
151;1
152;1
153;1
154;1
155;1
156;1
157;1
158;1
159;1
165;1
166;1
167;1
169;1
170;1
171;1
172;1
173;1
175;1
176;7
177;1
178;1
179;15
180;1
181;1
182;1
183;1
186;1
188;1
190;1
191;1
192;7
193;1
194;7
195;7
196;7
197;1
198;1
199;1
200;1
202;1
203;1
204;1
206;1
207;1
208;1
210;1
211;1
212;1
213;1
214;1
215;1
216;1
218;1
221;1
224;1
228;1
229;1
230;1
231;1
232;1
233;1
234;15
236;1
237;1
238;1
239;7
240;8
241;1
242;1
244;10
251;7
256;12
257;1
258;1
261;1
264;1
268;3
269;3
270;3
271;3
272;3
273;3
274;3
275;3
276;3
277;3
278;3
279;3
280;3
281;3
282;3
283;3
284;3
285;3
287;3
288;3
289;3
290;3
291;3
292;3
293;3
294;3
295;3
297;3
299;3
300;3
302;3
303;3
304;3
305;3
306;3
307;3
308;3
309;3
310;3
311;3
312;3
313;3
314;3
315;3
316;3
317;3
318;3
319;3
320;3
321;3
322;3
323;3
324;3
325;3
326;3
327;3
328;3
329;3
330;3
331;3
332;3
333;3
334;3
335;3
355;3
375;3
385;3
386;3
406;3
407;3
408;3
409;3
410;3
411;3
412;3
413;3
416;3
417;3
418;3
419;3
420;3
421;3
422;3
424;3
425;3
426;3
427;3
428;3
432;3
433;3
436;10
457;1
460;1
547;9
976;16
980;16
985;16
986;16
987;16
988;16
990;16
991;16
992;16
993;16
994;16
1000;16
1001;16
1002;16
1003;16
1004;16
1005;16
1006;16
1007;16
1008;16
1009;16
1013;14
1015;14
1016;14
1017;14
1018;14
1019;14
1020;14
1021;14
1022;14
1023;14
1024;14
1025;14
1026;14
1027;14
1028;14
1029;14
1030;14
1031;14
1032;14
1033;14
1034;14
1035;14
1036;14
1037;14
1038;14
1040;14
1042;14
1044;14
1045;14
1046;14
1047;14
1049;14
1053;14
1054;14
1057;14
1062;14
1063;14
1064;14
1066;14
1067;16
1068;16
1070;16
1071;16
1072;16
1106;1
1107;1
1111;1
1112;7
1114;8
1116;5
1117;1
1118;5
1122;7
1124;1
1125;16
1126;16
1137;14
1145;16
1178;3
1198;12
1199;12
1202;1
1208;1
1209;1
1230;1
1231;1
1232;1
1233;1
1262;12
1264;12
1265;12
1266;12
1267;1
1268;3
1269;7
1271;1
1283;3
1284;3
1285;1
1288;3
1289;1
1291;3
1294;1
1295;1
1296;1
1297;8
1298;12
1299;12
1301;12
1303;12
1304;12
1306;12
1307;12
1308;12
1310;13
1311;13
1312;13
1313;13
1314;13
1315;13
1316;13
1317;13
1318;13
1319;13
1320;13
1321;13
1322;13
1323;13
1324;13
1325;13
1326;13
1327;13
1328;13
1329;13
1330;13
1331;13
1332;13
1333;13
1334;13
1335;13
1336;13
1337;13
1338;13
1339;13
1340;13
1341;13
1342;13
1343;13
1344;13
1345;13
1346;13
1347;13
1348;13
1349;13
1350;13
1351;13
1352;13
1353;13
1354;13
1355;13
1356;13
1357;13
1358;13
1359;13
1360;13
1361;13
1362;13
1363;13
1364;13
1365;13
1366;13
