cod_orgao_julg;Atuacao_Vara
11674;Cível
14075;Criminal
16317;Geral
16426;Criminal
17049;Geral
17050;Geral
17051;Cível
17052;Execução Fiscal
17053;Juizados Cíveis
17054;Geral
33547;Geral
33548;Criminal
33549;Cível
33550;Cível
33563;Geral
33567;Cível
33572;Cível
3588;Criminal
3591;Criminal
3604;Cível
3605;Criminal
3608;Cível
3609;Criminal
3612;Cível
3613;Cível
3614;Criminal
3615;Criminal
3616;Fazenda
3621;Cível
3622;Cível
3623;Cível
3624;Cível
3625;Criminal
3626;Criminal
3627;Criminal
3628;Criminal
3629;Criminal
3632;Fazenda
3633;Fazenda
3636;Geral
3638;Criminal
3639;Cível
3641;Cível
3642;Cível
3644;Criminal
3645;Criminal
6379;Criminal
74296;Criminal
74300;Criminal
74302;Geral
79521;Criminal
8148;Geral
8149;Geral
8150;Geral
8151;Geral
8152;Geral
8153;Cível
8154;Criminal
8155;Cível
8156;Criminal
81694;Criminal
5756;Geral
5789;Geral
5794;Geral
5862;Geral
5872;Geral
5904;Geral
5907;Geral
6201;Criminal
6203;Geral
6246;Geral
6330;Cível
6360;Criminal
6368;Criminal
6504;Geral
6538;Geral
6550;Geral
6572;Geral
6592;Geral
6696;Cível
6704;Cível
6707;Cível
6710;Cível
8180;Criminal
8191;Criminal
11677;Juizados Cíveis
11738;Cível
13092;Cível
13094;Geral
4780;Cível
4781;Cível
4782;Cível
4783;Cível
4784;Cível
4785;Cível
4786;Cível
4787;Cível
4788;Cível
4789;Cível
4790;Cível
4791;Cível
4792;Cível
4793;Cível
4794;Cível
4795;Cível
4796;Cível
4797;Cível
4798;Cível
4799;Cível
4801;Criminal
4841;Execução Fiscal
4902;Juizados Cíveis
4903;Juizados Cíveis
4905;Juizados Cíveis
4906;Cível
4907;Cível
4908;Cível
4910;Juizados Cíveis
4913;Juizados Cíveis
4922;Criminal
5050;Geral
5052;Geral
5058;Geral
5059;Geral
5060;Cível
5063;Cível
5066;Geral
5067;Cível
5068;Geral
5070;Geral
5071;Geral
5073;Geral
5075;Geral
5076;Geral
5079;Geral
5081;Geral
5084;Criminal
5086;Geral
5087;Geral
5090;Criminal
5091;Geral
5093;Geral
5094;Geral
5095;Geral
5097;Criminal
5098;Geral
5099;Geral
5100;Geral
5102;Criminal
5104;Geral
5106;Geral
5109;Geral
5112;Geral
5115;Geral
5118;Geral
74447;Geral
75553;Fazenda
76533;Criminal
11714;Fazenda
13396;Criminal
13605;Criminal
13697;Criminal
13703;Geral
13716;Cível
13718;Cível
13720;Criminal
13721;Criminal
16037;Criminal
16268;Cível
16272;Cível
16273;Cível
16275;Fazenda
16276;Cível
16409;Geral
16482;Geral
43865;Cível
43866;Geral
43924;Criminal
43929;Cível
43931;Trabalho
6147;Geral
6151;Geral
6155;Geral
6157;Geral
6160;Geral
6162;Fazenda
6164;Fazenda
6165;Cível
6166;Fazenda
6167;Fazenda
6171;Criminal
6172;Criminal
6398;Criminal
6399;Criminal
6401;Cível
6402;Cível
6404;Geral
6406;Criminal
6407;Geral
6409;Cível
6410;Cível
6411;Criminal
6412;Criminal
6414;Cível
6416;Geral
6417;Geral
75533;Criminal
78603;Geral
78853;Juizados Cíveis
11872;Fazenda
15651;Geral
16392;Criminal
17070;Execução Fiscal
17072;Cível
17073;Cível
17078;Geral
17082;Geral
17090;Cível
17091;Cível
17092;Cível
17094;Cível
17096;Cível
17098;Fazenda
17100;Juizados Cíveis
17102;Cível
17122;Juizados Cíveis
17125;Juizados Cíveis
17126;Cível
17129;Cível
17130;Cível
17131;Cível
17152;Cível
17160;Cível
17162;Cível
17163;Cível
17165;Cível
17166;Cível
17167;Cível
17168;Cível
17169;Cível
17170;Cível
17171;Cível
17172;Cível
17173;Cível
17174;Criminal
17175;Cível
17176;Cível
17177;Cível
17178;Cível
17179;Cível
17180;Cível
17181;Cível
17183;Cível
17184;Cível
17185;Cível
17188;Cível
17189;Cível
17190;Cível
17192;Cível
17193;Cível
17194;Cível
17195;Cível
17201;Execução Fiscal
17214;Criminal
17216;Cível
17218;Cível
17219;Cível
17866;Criminal
17867;Juizados Cíveis
17872;Juizados Cíveis
17873;Cível
18291;Geral
18544;Cível
18553;Juizados Cíveis
18556;Cível
3887;Geral
3909;Geral
3913;Geral
3939;Geral
3953;Geral
4086;Geral
4087;Execução Fiscal
4093;Geral
4108;Execução Fiscal
4115;Geral
4119;Execução Fiscal
4132;Cível
4139;Cível
4145;Fazenda
4158;Geral
4166;Fazenda
4174;Execução Fiscal
4178;Execução Fiscal
4386;Criminal
4388;Criminal
4390;Criminal
4418;Criminal
4436;Execução Fiscal
4462;Criminal
4514;Geral
4515;Geral
4518;Geral
4526;Cível
4527;Cível
4528;Cível
4529;Fazenda
4548;Geral
4552;Geral
4564;Cível
4568;Cível
4575;Geral
4584;Geral
4592;Geral
4597;Geral
4635;Juizados Cíveis
4642;Geral
4662;Geral
4678;Geral
4700;Geral
4728;Geral
4750;Geral
4859;Geral
4870;Geral
4871;Geral
4872;Geral
4876;Geral
4877;Geral
4880;Geral
4881;Cível
4882;Execução Fiscal
4892;Cível
4894;Execução Fiscal
4909;Geral
4916;Geral
4927;Geral
49566;Fazenda
49597;Geral
49614;Geral
49623;Cível
49645;Geral
49664;Geral
49691;Cível
49696;Execução Fiscal
49699;Execução Fiscal
49700;Cível
49701;Cível
49703;Cível
49709;Criminal
49737;Execução Fiscal
49754;Fazenda
49816;Cível
49853;Geral
49858;Geral
49901;Criminal
49920;Execução Fiscal
49935;Fazenda
49954;Cível
49956;Juizados Cíveis
49958;Criminal
49959;Cível
49960;Juizados Cíveis
49962;Cível
49964;Cível
49965;Cível
49969;Cível
49971;Criminal
49972;Criminal
49973;Cível
49974;Cível
49982;Cível
49984;Criminal
49985;Criminal
49986;Cível
50007;Geral
50017;Geral
5002;Geral
5003;Geral
5005;Geral
5006;Geral
5007;Geral
50076;Execução Fiscal
5008;Geral
50093;Criminal
5010;Geral
5012;Geral
5016;Geral
5121;Geral
5123;Geral
5136;Fazenda
5138;Geral
5140;Geral
5144;Geral
5147;Criminal
5151;Geral
5152;Geral
5167;Geral
5172;Cível
5176;Cível
5180;Geral
5183;Geral
5199;Geral
5200;Juizados Cíveis
5205;Geral
5210;Criminal
5211;Geral
5214;Geral
5216;Cível
5229;Geral
5232;Geral
5234;Cível
5235;Criminal
5237;Fazenda
5239;Geral
5240;Criminal
5244;Geral
5248;Execução Fiscal
5252;Geral
5257;Execução Fiscal
5267;Geral
5272;Cível
5274;Geral
5275;Criminal
5286;Geral
5290;Geral
5296;Geral
5298;Geral
5300;Geral
5316;Geral
5320;Geral
5329;Geral
5403;Geral
5443;Geral
5460;Geral
5474;Geral
5524;Geral
5712;Criminal
6018;Execução Fiscal
6075;Cível
6095;Geral
6101;Geral
6106;Criminal
6115;Juizados Cíveis
6123;Juizados Cíveis
6192;Geral
6205;Geral
6321;Geral
6324;Geral
6326;Geral
6352;Geral
6420;Juizados Cíveis
6433;Cível
6445;Geral
6450;Geral
6451;Cível
6459;Geral
6461;Geral
6463;Cível
6486;Cível
6487;Geral
6489;Criminal
6510;Geral
6516;Geral
6520;Geral
6522;Juizados Cíveis
6523;Geral
6532;Geral
6923;Geral
70846;Cível
72321;Criminal
72842;Juizados Cíveis
72843;Juizados Cíveis
72844;Juizados Cíveis
72845;Juizados Cíveis
72846;Juizados Cíveis
72847;Juizados Cíveis
72849;Juizados Cíveis
72850;Juizados Cíveis
77259;Fazenda
78094;Juizados Cíveis
7835;Cível
7836;Cível
7839;Juizados Cíveis
7841;Juizados Cíveis
7843;Cível
7849;Cível
7851;Cível
7853;Cível
7855;Cível
7858;Juizados Cíveis
7862;Juizados Cíveis
7865;Juizados Cíveis
7919;Geral
7922;Geral
7925;Criminal
79440;Execução Fiscal
79788;Geral
79822;Geral
79976;Criminal
80387;Juizados Cíveis
8225;Cível
8226;Cível
8227;Juizados Cíveis
8228;Juizados Cíveis
8229;Criminal
11008;Cível
12916;Cível
13402;Cível
13977;Cível
14169;Cível
14170;Geral
14320;Cível
14329;Criminal
14332;Criminal
16251;Geral
16252;Geral
16505;Criminal
16594;Geral
16598;Criminal
16957;Cível
17232;Execução Fiscal
17233;Juizados Cíveis
50865;Cível
50867;Cível
50868;Cível
50921;Criminal
50922;Criminal
50925;Cível
72208;Cível
78390;Geral
78398;Cível
78403;Geral
79734;Cível
79735;Cível
79736;Cível
79737;Cível
79738;Cível
79739;Cível
79740;Cível
79742;Cível
79743;Cível
79744;Cível
79745;Cível
79746;Cível
79747;Cível
79748;Cível
79749;Cível
79750;Cível
79751;Cível
79752;Cível
79753;Cível
79761;Cível
79762;Cível
81560;Criminal
81593;Cível
81594;Cível
81595;Cível
81596;Cível
81597;Cível
81598;Cível
81599;Cível
8381;Geral
8389;Geral
8392;Geral
8395;Geral
8407;Geral
8409;Geral
8412;Cível
8415;Geral
8416;Juizados Cíveis
8422;Geral
8426;Geral
8442;Geral
8443;Cível
8451;Cível
8487;Cível
8491;Juizados Cíveis
8499;Cível
8530;Geral
8533;Geral
8537;Geral
8549;Cível
8550;Cível
8553;Geral
8562;Cível
8566;Cível
8568;Geral
8596;Juizados Cíveis
8601;Geral
8608;Cível
8626;Cível
8644;Execução Fiscal
8648;Execução Fiscal
8652;Execução Fiscal
