"codtribunal","cod_orgao_julg"
"TJAC","11046"
"TJAC","11674"
"TJAC","13730"
"TJAC","14075"
"TJAC","16317"
"TJAC","16426"
"TJAC","16493"
"TJAC","17049"
"TJAC","17050"
"TJAC","17051"
"TJAC","17052"
"TJAC","17053"
"TJAC","17054"
"TJAC","33547"
"TJAC","33548"
"TJAC","33549"
"TJAC","33550"
"TJAC","33563"
"TJAC","33567"
"TJAC","33572"
"TJAC","3588"
"TJAC","3591"
"TJAC","3604"
"TJAC","3605"
"TJAC","3608"
"TJAC","3609"
"TJAC","3612"
"TJAC","3613"
"TJAC","3614"
"TJAC","3615"
"TJAC","3616"
"TJAC","3621"
"TJAC","3622"
"TJAC","3623"
"TJAC","3624"
"TJAC","3625"
"TJAC","3626"
"TJAC","3627"
"TJAC","3628"
"TJAC","3629"
"TJAC","3630"
"TJAC","3631"
"TJAC","3632"
"TJAC","3633"
"TJAC","3635"
"TJAC","3636"
"TJAC","3638"
"TJAC","3639"
"TJAC","3641"
"TJAC","3642"
"TJAC","3644"
"TJAC","3645"
"TJAC","6379"
"TJAC","74032"
"TJAC","74296"
"TJAC","74300"
"TJAC","74302"
"TJAC","77849"
"TJAC","77850"
"TJAC","77856"
"TJAC","79521"
"TJAC","8148"
"TJAC","8149"
"TJAC","8150"
"TJAC","8151"
"TJAC","8152"
"TJAC","8153"
"TJAC","8154"
"TJAC","8155"
"TJAC","8156"
"TJAC","81605"
"TJAC","81694"
"TJAC","81836"
"TJAL","17056"
"TJAL","43576"
"TJAL","43596"
"TJAL","43599"
"TJAL","5735"
"TJAL","5756"
"TJAL","5774"
"TJAL","5789"
"TJAL","5794"
"TJAL","5839"
"TJAL","5862"
"TJAL","5864"
"TJAL","5872"
"TJAL","5895"
"TJAL","5902"
"TJAL","5903"
"TJAL","5904"
"TJAL","5907"
"TJAL","5909"
"TJAL","5910"
"TJAL","6201"
"TJAL","6203"
"TJAL","6246"
"TJAL","6330"
"TJAL","6360"
"TJAL","6368"
"TJAL","6370"
"TJAL","6504"
"TJAL","6535"
"TJAL","6538"
"TJAL","6548"
"TJAL","6550"
"TJAL","6562"
"TJAL","6572"
"TJAL","6577"
"TJAL","6581"
"TJAL","6592"
"TJAL","6612"
"TJAL","6649"
"TJAL","6683"
"TJAL","6696"
"TJAL","6704"
"TJAL","6707"
"TJAL","6710"
"TJAL","8180"
"TJAL","8183"
"TJAL","8186"
"TJAL","8191"
"TJAM","11677"
"TJAM","11738"
"TJAM","11739"
"TJAM","11853"
"TJAM","13092"
"TJAM","13094"
"TJAM","14166"
"TJAM","16971"
"TJAM","17058"
"TJAM","17059"
"TJAM","17063"
"TJAM","17900"
"TJAM","3832"
"TJAM","4060"
"TJAM","4438"
"TJAM","4780"
"TJAM","4781"
"TJAM","4782"
"TJAM","4783"
"TJAM","4784"
"TJAM","4785"
"TJAM","4786"
"TJAM","4787"
"TJAM","4788"
"TJAM","4789"
"TJAM","4790"
"TJAM","4791"
"TJAM","4792"
"TJAM","4793"
"TJAM","4794"
"TJAM","4795"
"TJAM","4796"
"TJAM","4797"
"TJAM","4798"
"TJAM","4799"
"TJAM","4800"
"TJAM","4801"
"TJAM","4803"
"TJAM","4804"
"TJAM","4805"
"TJAM","4806"
"TJAM","4807"
"TJAM","4809"
"TJAM","4810"
"TJAM","4812"
"TJAM","4814"
"TJAM","4822"
"TJAM","4824"
"TJAM","4826"
"TJAM","4831"
"TJAM","4835"
"TJAM","4836"
"TJAM","4839"
"TJAM","4841"
"TJAM","4842"
"TJAM","4845"
"TJAM","4846"
"TJAM","4847"
"TJAM","4848"
"TJAM","4849"
"TJAM","4850"
"TJAM","4851"
"TJAM","4852"
"TJAM","4853"
"TJAM","4854"
"TJAM","4855"
"TJAM","4856"
"TJAM","4857"
"TJAM","4858"
"TJAM","4899"
"TJAM","4902"
"TJAM","4903"
"TJAM","4905"
"TJAM","4906"
"TJAM","4907"
"TJAM","4908"
"TJAM","4910"
"TJAM","4912"
"TJAM","4913"
"TJAM","4914"
"TJAM","4915"
"TJAM","4917"
"TJAM","4920"
"TJAM","4921"
"TJAM","4922"
"TJAM","4923"
"TJAM","5047"
"TJAM","5048"
"TJAM","5049"
"TJAM","5050"
"TJAM","5051"
"TJAM","5052"
"TJAM","5053"
"TJAM","5054"
"TJAM","5055"
"TJAM","5056"
"TJAM","5057"
"TJAM","5058"
"TJAM","5059"
"TJAM","5060"
"TJAM","5061"
"TJAM","5062"
"TJAM","5063"
"TJAM","5064"
"TJAM","5065"
"TJAM","5066"
"TJAM","5067"
"TJAM","5068"
"TJAM","5069"
"TJAM","5070"
"TJAM","5071"
"TJAM","5072"
"TJAM","5073"
"TJAM","5074"
"TJAM","5075"
"TJAM","5076"
"TJAM","5077"
"TJAM","5078"
"TJAM","5079"
"TJAM","5080"
"TJAM","5081"
"TJAM","5082"
"TJAM","5083"
"TJAM","5084"
"TJAM","5085"
"TJAM","5086"
"TJAM","5087"
"TJAM","5088"
"TJAM","5089"
"TJAM","5090"
"TJAM","5091"
"TJAM","5092"
"TJAM","5093"
"TJAM","5094"
"TJAM","5095"
"TJAM","5096"
"TJAM","5097"
"TJAM","5098"
"TJAM","5099"
"TJAM","5100"
"TJAM","5101"
"TJAM","5102"
"TJAM","5103"
"TJAM","5104"
"TJAM","5105"
"TJAM","5106"
"TJAM","5107"
"TJAM","5108"
"TJAM","5109"
"TJAM","5110"
"TJAM","5111"
"TJAM","5112"
"TJAM","5113"
"TJAM","5114"
"TJAM","5115"
"TJAM","5116"
"TJAM","5117"
"TJAM","5118"
"TJAM","5119"
"TJAM","5120"
"TJAM","72275"
"TJAM","74447"
"TJAM","75553"
"TJAM","75555"
"TJAM","76533"
"TJAM","78625"
"TJAM","79660"
"TJAM","79662"
"TJAM","79983"
"TJAM","79985"
"TJAM","80020"
"TJAM","80067"
"TJAM","80068"
"TJAM","80069"
"TJAM","80313"
"TJAM","80403"
"TJAM","81497"
"TJAM","81656"
"TJAM","81657"
"TJAP","11712"
"TJAP","11714"
"TJAP","13396"
"TJAP","13605"
"TJAP","13697"
"TJAP","13703"
"TJAP","13716"
"TJAP","13718"
"TJAP","13719"
"TJAP","13720"
"TJAP","13721"
"TJAP","16037"
"TJAP","16268"
"TJAP","16272"
"TJAP","16273"
"TJAP","16275"
"TJAP","16276"
"TJAP","16409"
"TJAP","16481"
"TJAP","16482"
"TJAP","43864"
"TJAP","43865"
"TJAP","43866"
"TJAP","43871"
"TJAP","43924"
"TJAP","43925"
"TJAP","43929"
"TJAP","43931"
"TJAP","6147"
"TJAP","6151"
"TJAP","6155"
"TJAP","6157"
"TJAP","6160"
"TJAP","6162"
"TJAP","6164"
"TJAP","6165"
"TJAP","6166"
"TJAP","6167"
"TJAP","6171"
"TJAP","6172"
"TJAP","6177"
"TJAP","6179"
"TJAP","6396"
"TJAP","6398"
"TJAP","6399"
"TJAP","6401"
"TJAP","6402"
"TJAP","6404"
"TJAP","6406"
"TJAP","6407"
"TJAP","6409"
"TJAP","6410"
"TJAP","6411"
"TJAP","6412"
"TJAP","6413"
"TJAP","6414"
"TJAP","6415"
"TJAP","6416"
"TJAP","6417"
"TJAP","75533"
"TJAP","78603"
"TJAP","78843"
"TJAP","78847"
"TJAP","78853"
"TJBA","11872"
"TJBA","13319"
"TJBA","13320"
"TJBA","13870"
"TJBA","15650"
"TJBA","15651"
"TJBA","16392"
"TJBA","17065"
"TJBA","17067"
"TJBA","17070"
"TJBA","17071"
"TJBA","17072"
"TJBA","17073"
"TJBA","17078"
"TJBA","17079"
"TJBA","17082"
"TJBA","17087"
"TJBA","17088"
"TJBA","17090"
"TJBA","17091"
"TJBA","17092"
"TJBA","17094"
"TJBA","17096"
"TJBA","17097"
"TJBA","17098"
"TJBA","17099"
"TJBA","17100"
"TJBA","17101"
"TJBA","17102"
"TJBA","17107"
"TJBA","17110"
"TJBA","17111"
"TJBA","17112"
"TJBA","17113"
"TJBA","17116"
"TJBA","17117"
"TJBA","17118"
"TJBA","17121"
"TJBA","17122"
"TJBA","17123"
"TJBA","17124"
"TJBA","17125"
"TJBA","17126"
"TJBA","17128"
"TJBA","17129"
"TJBA","17130"
"TJBA","17131"
"TJBA","17152"
"TJBA","17153"
"TJBA","17154"
"TJBA","17158"
"TJBA","17159"
"TJBA","17160"
"TJBA","17161"
"TJBA","17162"
"TJBA","17163"
"TJBA","17164"
"TJBA","17165"
"TJBA","17166"
"TJBA","17167"
"TJBA","17168"
"TJBA","17169"
"TJBA","17170"
"TJBA","17171"
"TJBA","17172"
"TJBA","17173"
"TJBA","17174"
"TJBA","17175"
"TJBA","17176"
"TJBA","17177"
"TJBA","17178"
"TJBA","17179"
"TJBA","17180"
"TJBA","17181"
"TJBA","17182"
"TJBA","17183"
"TJBA","17184"
"TJBA","17185"
"TJBA","17186"
"TJBA","17187"
"TJBA","17188"
"TJBA","17189"
"TJBA","17190"
"TJBA","17191"
"TJBA","17192"
"TJBA","17193"
"TJBA","17194"
"TJBA","17195"
