"codmunicipio","porte","pib","pib_percapita","pop_estimada","reg_metropolitana","desc_pibpercapita"
1100015,"Pequeno porte",30575946875,1255479003906,24392,"N","Municipio com médio PIB per capita"
1100023,"Médio porte",104096075,1216913964844,90353,"N","Municipio com médio PIB per capita"
1100031,"Pequeno porte",1045787578125,156204296875,6313,"N","Municipio com alto PIB per capita"
1100049,"Médio porte",908886375,1155241992188,78574,"N","Municipio com médio PIB per capita"
1100056,"Pequeno porte",237927984375,1431404003906,17029,"N","Municipio com alto PIB per capita"
1100064,"Pequeno porte",212184,1190573046875,18591,"N","Municipio com médio PIB per capita"
1100072,"Pequeno porte",19281028125,1991841992188,8783,"N","Municipio com alto PIB per capita"
1100080,"Pequeno porte",1200654296875,830787988281,13678,"N","Municipio com médio PIB per capita"
1100098,"Médio porte",31963403125,1106305957031,28729,"N","Municipio com médio PIB per capita"
1100106,"Médio porte",4898988125,1201851953125,41656,"N","Municipio com médio PIB per capita"
1100114,"Médio porte",65021425,1205373046875,52005,"N","Municipio com médio PIB per capita"
1100122,"Grande porte",1401586375,1262576953125,116610,"N","Municipio com médio PIB per capita"
1100130,"Médio porte",30379215625,91616796875,31135,"N","Municipio com médio PIB per capita"
1100148,"Pequeno porte",163247671875,92240703125,19874,"N","Municipio com médio PIB per capita"
1100155,"Médio porte",40683421875,1107784960938,37928,"N","Municipio com médio PIB per capita"
1100189,"Médio porte",51363190625,151139296875,33822,"N","Municipio com alto PIB per capita"
1100205,"Grande porte",66076415,1726002929688,428527,"S","Municipio com alto PIB per capita"
1100254,"Pequeno porte",245843890625,109171796875,22319,"N","Municipio com médio PIB per capita"
1100262,"Pequeno porte",89956921875,2734252929688,3316,"N","Municipio com alto PIB per capita"
1100288,"Médio porte",5202195625,1030158007812,50648,"N","Municipio com médio PIB per capita"
1100296,"Pequeno porte",1146679453125,1226658007812,8886,"N","Municipio com médio PIB per capita"
1100304,"Médio porte",11877635,1700058984375,76202,"N","Municipio com alto PIB per capita"
1100320,"Pequeno porte",28361865625,1222441992188,21828,"N","Municipio com médio PIB per capita"
1100338,"Pequeno porte",2264399375,1013744042969,22546,"N","Municipio com médio PIB per capita"
1100346,"Pequeno porte",159415359375,930783984375,16853,"N","Municipio com médio PIB per capita"
1100379,"Pequeno porte",160794796875,1354061035156,12816,"N","Municipio com alto PIB per capita"
1100403,"Pequeno porte",17909990625,1019408984375,17135,"N","Municipio com médio PIB per capita"
1100452,"Médio porte",326336875,940641992188,32383,"N","Municipio com médio PIB per capita"
1100502,"Pequeno porte",1132875234375,1165509960938,10240,"N","Municipio com médio PIB per capita"
1100601,"Pequeno porte",1025277109375,178744296875,5736,"N","Municipio com alto PIB per capita"
1100700,"Pequeno porte",132686515625,1027383007812,12665,"N","Municipio com médio PIB per capita"
1100809,"Pequeno porte",2319111875,132165703125,19779,"S","Municipio com médio PIB per capita"
1100908,"Pequeno porte",536348203125,1455490039062,3575,"N","Municipio com alto PIB per capita"
1100924,"Pequeno porte",1840946875,2347248046875,8301,"N","Municipio com alto PIB per capita"
1100940,"Pequeno porte",19365734375,1300674023438,15854,"N","Municipio com médio PIB per capita"
1101005,"Pequeno porte",1235633515625,1065844042969,10512,"N","Municipio com médio PIB per capita"
1101104,"Pequeno porte",847857265625,1029578027344,8566,"N","Municipio com médio PIB per capita"
1101203,"Pequeno porte",96860171875,916195019531,10352,"N","Municipio com médio PIB per capita"
1101302,"Pequeno porte",120002546875,970658984375,11878,"N","Municipio com médio PIB per capita"
1101401,"Pequeno porte",1453293125,1143604980469,14091,"N","Municipio com médio PIB per capita"
1101435,"Pequeno porte",69908515625,880016992188,7493,"N","Municipio com médio PIB per capita"
1101450,"Pequeno porte",837121875,1743276953125,4810,"N","Municipio com alto PIB per capita"
1101468,"Pequeno porte",68966140625,2855741015625,2315,"N","Municipio com alto PIB per capita"
1101476,"Pequeno porte",4555133203125,1209862988281,3524,"N","Municipio com médio PIB per capita"
1101484,"Pequeno porte",7171896875,1118512011719,6018,"N","Municipio com médio PIB per capita"
1101492,"Pequeno porte",204591984375,1240628027344,16035,"N","Municipio com médio PIB per capita"
1101500,"Pequeno porte",1302603828125,1075021972656,11629,"N","Municipio com médio PIB per capita"
1101559,"Pequeno porte",5446728515625,1087170996094,4888,"N","Municipio com médio PIB per capita"
1101609,"Pequeno porte",128036203125,1240059960938,10649,"N","Municipio com médio PIB per capita"
1101708,"Pequeno porte",1197461875,876554980469,12974,"N","Municipio com médio PIB per capita"
1101757,"Pequeno porte",1140888984375,1253724023438,9384,"N","Municipio com médio PIB per capita"
1101807,"Pequeno porte",88993171875,998465039062,8210,"N","Municipio com médio PIB per capita"
1200013,"Pequeno porte",151120015625,1234540039062,12538,"N","Municipio com médio PIB per capita"
1200054,"Pequeno porte",4834730078125,853891015625,6072,"N","Municipio com médio PIB per capita"
1200104,"Pequeno porte",194979828125,963433984375,21398,"N","Municipio com médio PIB per capita"
1200138,"Pequeno porte",8870803125,1309924023438,8471,"N","Municipio com médio PIB per capita"
1200179,"Pequeno porte",890526796875,958895996094,8798,"N","Municipio com médio PIB per capita"
1200203,"Médio porte",68434925,888719042969,78507,"N","Municipio com médio PIB per capita"
1200252,"Pequeno porte",12964109375,911425,15100,"N","Municipio com médio PIB per capita"
1200302,"Médio porte",239317046875,741814990234,32412,"N","Municipio com médio PIB per capita"
1200328,"Pequeno porte",4167313671875,639158984375,6577,"N","Municipio com médio PIB per capita"
1200336,"Pequeno porte",1032947421875,699166015625,15206,"N","Municipio com médio PIB per capita"
1200344,"Pequeno porte",6147873046875,819170019531,7981,"N","Municipio com médio PIB per capita"
1200351,"Pequeno porte",1091818671875,764847021484,14227,"N","Municipio com médio PIB per capita"
1200385,"Pequeno porte",2044105625,1120979003906,17209,"N","Municipio com médio PIB per capita"
1200393,"Pequeno porte",6443235546875,727637988281,9176,"N","Municipio com médio PIB per capita"
1200401,"Grande porte",383737075,1254230957031,336038,"N","Municipio com médio PIB per capita"
1200427,"Pequeno porte",153169609375,1137961035156,14389,"N","Municipio com médio PIB per capita"
1200435,"Pequeno porte",2809117382812,644589013672,4691,"N","Municipio com médio PIB per capita"
1200450,"Pequeno porte",217153859375,1102471972656,20179,"N","Municipio com médio PIB per capita"
1200500,"Médio porte",3715560625,1027362988281,38029,"N","Municipio com médio PIB per capita"
1200609,"Médio porte",2585050625,762933984375,35590,"N","Municipio com médio PIB per capita"
1200708,"Pequeno porte",15026234375,996500976562,16091,"N","Municipio com médio PIB per capita"
1200807,"Pequeno porte",16034078125,1092091015625,14880,"N","Municipio com médio PIB per capita"
1300029,"Pequeno porte",535167578125,394491992188,14088,"N","Municipio com baixo PIB per capita"
1300060,"Pequeno porte",345056796875,390865991211,9467,"N","Municipio com baixo PIB per capita"
1300086,"Pequeno porte",4173599609375,481218017578,10214,"N","Municipio com médio PIB per capita"
1300102,"Pequeno porte",74464953125,506977978516,16317,"N","Municipio com médio PIB per capita"
1300144,"Pequeno porte",14699334375,790414013672,18007,"N","Municipio com médio PIB per capita"
1300201,"Pequeno porte",5460319140625,37107199707,15153,"N","Municipio com baixo PIB per capita"
1300300,"Médio porte",136269859375,428872021484,32135,"S","Municipio com baixo PIB per capita"
1300409,"Médio porte",77717203125,30585300293,25718,"N","Municipio com baixo PIB per capita"
1300508,"Médio porte",101256609375,359551000977,27355,"N","Municipio com baixo PIB per capita"
1300607,"Médio porte",1167501015625,374259008789,33411,"N","Municipio com baixo PIB per capita"
1300631,"Pequeno porte",785357421875,534075,15486,"N","Municipio com médio PIB per capita"
1300680,"Pequeno porte",5376304296875,384186010742,14979,"N","Municipio com baixo PIB per capita"
1300706,"Médio porte",14975540625,479662011719,30632,"N","Municipio com médio PIB per capita"
1300805,"Médio porte",119983046875,369223999023,34961,"N","Municipio com baixo PIB per capita"
1300839,"Pequeno porte",4597466015625,411591015625,10975,"N","Municipio com baixo PIB per capita"
1300904,"Pequeno porte",4987154296875,417404980469,12738,"N","Municipio com baixo PIB per capita"
1301001,"Médio porte",12091009375,461718017578,25774,"N","Municipio com médio PIB per capita"
1301100,"Médio porte",1178026171875,360937011719,32734,"S","Municipio com baixo PIB per capita"
1301159,"Pequeno porte",1121200625,453854003906,23930,"S","Municipio com médio PIB per capita"
1301209,"Médio porte",1103350125,1647011914062,75965,"N","Municipio com alto PIB per capita"
1301308,"Pequeno porte",8427359375,517302001953,23206,"N","Municipio com médio PIB per capita"
1301407,"Médio porte",1230054375,398062988281,30665,"N","Municipio com baixo PIB per capita"
1301506,"Pequeno porte",6984303125,396519995117,16338,"N","Municipio com baixo PIB per capita"
1301605,"Pequeno porte",115856546875,616160009766,22817,"N","Municipio com médio PIB per capita"
1301654,"Pequeno porte",6376628515625,424231982422,13974,"N","Municipio com baixo PIB per capita"
1301704,"Médio porte",2256374375,553914990234,44227,"N","Municipio com médio PIB per capita"
1301803,"Pequeno porte",85468484375,469554980469,22254,"N","Municipio com médio PIB per capita"
1301852,"Médio porte",18802275,554900976562,40781,"S","Municipio com médio PIB per capita"
1301902,"Médio porte",919967375,1028586035156,86839,"S","Municipio com médio PIB per capita"
1301951,"Pequeno porte",368959296875,445549023438,8038,"N","Municipio com baixo PIB per capita"
1302009,"Pequeno porte",378704453125,389092993164,8211,"S","Municipio com baixo PIB per capita"
1302108,"Pequeno porte",255347109375,602518017578,7326,"N","Municipio com médio PIB per capita"
1302207,"Pequeno porte",4009002734375,432237011719,10802,"N","Municipio com baixo PIB per capita"
1302306,"Pequeno porte",68712,409218994141,17992,"N","Municipio com baixo PIB per capita"
1302405,"Médio porte",39456234375,1001604980469,37701,"N","Municipio com médio PIB per capita"
1302504,"Médio porte",39794240625,460197998047,85141,"S","Municipio com médio PIB per capita"
1302553,"Pequeno porte",8299075,398305004883,22801,"S","Municipio com baixo PIB per capita"
1302603,"Grande porte",40486108,2328606054688,1802014,"S","Municipio com alto PIB per capita"
1302702,"Médio porte",2390061875,510991992188,47017,"N","Municipio com médio PIB per capita"
1302801,"Pequeno porte",1090747265625,601460009766,17528,"N","Municipio com médio PIB per capita"
1302900,"Médio porte",226922828125,456897998047,52236,"N","Municipio com médio PIB per capita"
1303007,"Pequeno porte",864439765625,467922021484,18278,"N","Municipio com médio PIB per capita"
1303106,"Médio porte",10878334375,35077800293,30696,"N","Municipio com baixo PIB per capita"
1303205,"Pequeno porte",6170934765625,387742993164,14723,"S","Municipio com baixo PIB per capita"
1303304,"Pequeno porte",857007265625,452199023438,21451,"N","Municipio com médio PIB per capita"
1303403,"Grande porte",46052175,429391015625,102033,"N","Municipio com baixo PIB per capita"
1303502,"Pequeno porte",6959659375,364169995117,18166,"N","Municipio com baixo PIB per capita"
1303536,"Médio porte",304599375,1158966015625,27175,"S","Municipio com médio PIB per capita"
1303569,"Médio porte",216235546875,805437011719,25719,"S","Municipio com médio PIB per capita"
