DATA,NU_ANO,NU_DIA,NU_SEMESTRE,DS_SEMESTRE,NU_ANO_SEMESTRE,DS_SEMESTRE_ANO,NU_TRIMESTRE,DS_TRIMESTRE,NU_ANO_TRIMESTRE,DS_ANO_TRIMESTRE,NU_MES,DS_MES,DS_MES_SIGLA,NU_ANO_MES,DS_MES_ANO,NU_DIA_SEMANA,DS_DIA_SEMANA,DS_DIA_SEMANA_SIGLA
"01/01/2000,2000,1,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",7,""SABADO"",""SAB"""
"02/01/2000,2000,2,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",1,""DOMINGO"",""DOM"""
"03/01/2000,2000,3,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",2,""SEGUNDA"",""SEG"""
"04/01/2000,2000,4,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",3,""TERCA"",""TER"""
"05/01/2000,2000,5,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",4,""QUARTA"",""QUA"""
"06/01/2000,2000,6,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",5,""QUINTA"",""QUI"""
"07/01/2000,2000,7,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",6,""SEXTA"",""SEX"""
"08/01/2000,2000,8,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",7,""SABADO"",""SAB"""
"09/01/2000,2000,9,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",1,""DOMINGO"",""DOM"""
"10/01/2000,2000,10,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",2,""SEGUNDA"",""SEG"""
"11/01/2000,2000,11,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",3,""TERCA"",""TER"""
"12/01/2000,2000,12,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",4,""QUARTA"",""QUA"""
"13/01/2000,2000,13,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",5,""QUINTA"",""QUI"""
"14/01/2000,2000,14,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",6,""SEXTA"",""SEX"""
"15/01/2000,2000,15,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",7,""SABADO"",""SAB"""
"16/01/2000,2000,16,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",1,""DOMINGO"",""DOM"""
"17/01/2000,2000,17,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",2,""SEGUNDA"",""SEG"""
"18/01/2000,2000,18,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",3,""TERCA"",""TER"""
"19/01/2000,2000,19,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",4,""QUARTA"",""QUA"""
"20/01/2000,2000,20,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",5,""QUINTA"",""QUI"""
"21/01/2000,2000,21,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",6,""SEXTA"",""SEX"""
"22/01/2000,2000,22,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",7,""SABADO"",""SAB"""
"23/01/2000,2000,23,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",1,""DOMINGO"",""DOM"""
"24/01/2000,2000,24,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",2,""SEGUNDA"",""SEG"""
"25/01/2000,2000,25,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",3,""TERCA"",""TER"""
"26/01/2000,2000,26,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",4,""QUARTA"",""QUA"""
"27/01/2000,2000,27,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",5,""QUINTA"",""QUI"""
"28/01/2000,2000,28,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",6,""SEXTA"",""SEX"""
"29/01/2000,2000,29,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",7,""SABADO"",""SAB"""
"30/01/2000,2000,30,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",1,""DOMINGO"",""DOM"""
"31/01/2000,2000,31,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",1,""JANEIRO"",""JAN"",200001,""JAN/2000"",2,""SEGUNDA"",""SEG"""
"01/02/2000,2000,1,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",3,""TERCA"",""TER"""
"02/02/2000,2000,2,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",4,""QUARTA"",""QUA"""
"03/02/2000,2000,3,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",5,""QUINTA"",""QUI"""
"04/02/2000,2000,4,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",6,""SEXTA"",""SEX"""
"05/02/2000,2000,5,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",7,""SABADO"",""SAB"""
"06/02/2000,2000,6,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",1,""DOMINGO"",""DOM"""
"07/02/2000,2000,7,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",2,""SEGUNDA"",""SEG"""
"08/02/2000,2000,8,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",3,""TERCA"",""TER"""
"09/02/2000,2000,9,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",4,""QUARTA"",""QUA"""
"10/02/2000,2000,10,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",5,""QUINTA"",""QUI"""
"11/02/2000,2000,11,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",6,""SEXTA"",""SEX"""
"12/02/2000,2000,12,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",7,""SABADO"",""SAB"""
"13/02/2000,2000,13,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",1,""DOMINGO"",""DOM"""
"14/02/2000,2000,14,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",2,""SEGUNDA"",""SEG"""
"15/02/2000,2000,15,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",2,""FEVEREIRO"",""FEV"",200002,""FEV/2000"",3,""TERCA"",""TER"""
