"data","nu_ano","nu_dia","nu_semestre","ds_semestre","ds_codanosemestre","ds_semestreano","nu_trimestre","ds_trimestre","nu_codanotrimestre","ds_trimestreano","nu_mes","ds_mes","sigla_mes","nu_anomes","ds_anomes","nu_diasemana","ds_diasemana","ds_siglasemana"
"2000-01-01",2000,1,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",7,"SABADO","SAB"
"2000-01-02",2000,2,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",1,"DOMINGO","DOM"
"2000-01-03",2000,3,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",2,"SEGUNDA","SEG"
"2000-01-04",2000,4,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",3,"TERCA","TER"
"2000-01-05",2000,5,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",4,"QUARTA","QUA"
"2000-01-06",2000,6,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",5,"QUINTA","QUI"
"2000-01-07",2000,7,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",6,"SEXTA","SEX"
"2000-01-08",2000,8,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",7,"SABADO","SAB"
"2000-01-09",2000,9,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",1,"DOMINGO","DOM"
"2000-01-10",2000,10,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",2,"SEGUNDA","SEG"
"2000-01-11",2000,11,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",3,"TERCA","TER"
"2000-01-12",2000,12,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",4,"QUARTA","QUA"
"2000-01-13",2000,13,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",5,"QUINTA","QUI"
"2000-01-14",2000,14,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",6,"SEXTA","SEX"
"2000-01-15",2000,15,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",7,"SABADO","SAB"
"2000-01-16",2000,16,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",1,"DOMINGO","DOM"
"2000-01-17",2000,17,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",2,"SEGUNDA","SEG"
"2000-01-18",2000,18,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",3,"TERCA","TER"
"2000-01-19",2000,19,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",4,"QUARTA","QUA"
"2000-01-20",2000,20,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",5,"QUINTA","QUI"
"2000-01-21",2000,21,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",6,"SEXTA","SEX"
"2000-01-22",2000,22,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",7,"SABADO","SAB"
"2000-01-23",2000,23,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",1,"DOMINGO","DOM"
"2000-01-24",2000,24,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",2,"SEGUNDA","SEG"
"2000-01-25",2000,25,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",3,"TERCA","TER"
"2000-01-26",2000,26,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",4,"QUARTA","QUA"
"2000-01-27",2000,27,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",5,"QUINTA","QUI"
"2000-01-28",2000,28,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",6,"SEXTA","SEX"
"2000-01-29",2000,29,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",7,"SABADO","SAB"
"2000-01-30",2000,30,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",1,"DOMINGO","DOM"
"2000-01-31",2000,31,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",1,"JANEIRO","JAN",200001,"JAN/2000",2,"SEGUNDA","SEG"
"2000-02-01",2000,1,1,"1º Sem.",20001,"S1/2000",1,"1º Trim.",20001,"T1/2000",2,"FEVEREIRO","FEV",200002,"FEV/2000",3,"TERCA","TER"
