"cod","descricao","sigla","tipo","porte","latitude","longitude","coduf","uf","tipotribunal_oj"
"STF","Supremo Tribunal Federal","STF","Superior","ND",-15.83,-47.86,53,"DF","TRIBS"
"STJ","Superior Tribunal de Justiça","STJ","Superior","ND",-15.83,-47.86,53,"DF","TRIBS"
"STM","Superior Tribunal Militar","STM","Superior","ND",-15.83,-47.86,53,"DF","TRIBS"
"TJAC","Tribunal de Justiça do Acre","TJAC","Estadual","Pequeno",-8.77,-70.55,12,"AC","TRIBE"
"TJAL","Tribunal de Justiça de Alagoas","TJAL","Estadual","Pequeno",-9.62,-36.82,27,"AL","TRIBE"
"TJAM","Tribunal de Justiça do Amazonas","TJAM","Estadual","Pequeno",-3.47,-65.1,13,"AM","TRIBE"
"TJAP","Tribunal de Justiça do Amapá","TJAP","Estadual","Pequeno",1.41,-51.77,16,"AP","TRIBE"
"TJBA","Tribunal de Justiça da Bahia","TJBA","Estadual","Médio",-13.29,-41.71,29,"BA","TRIBE"
"TJCE","Tribunal de Justiça do Ceará","TJCE","Estadual","Médio",-5.2,-39.53,23,"CE","TRIBE"
"TJDFT","Tribunal de Justiça do Distrito Federal e dos Territórios","TJDFT","Estadual","Médio",-15.83,-47.86,53,"DF","TRIBE"
"TJES","Tribunal de Justiça do Espírito Santo","TJES","Estadual","Médio",-19.19,-40.34,32,"ES","TRIBE"
"TJGO","Tribunal de Justiça de Goiás","TJGO","Estadual","Médio",-15.98,-49.86,52,"GO","TRIBE"
"TJMA","Tribunal de Justiça do Maranhão","TJMA","Estadual","Médio",-5.42,-45.44,21,"MA","TRIBE"
"TJMG","Tribunal de Justiça de Minas Gerais","TJMG","Estadual","Grande",-18.1,-44.38,31,"MG","TRIBE"
"TJMMG","Tribunal de Justiça Militar de Minas Gerais","TJMMG","Militar","ND",-18.1,-44.38,31,"MG","TRIBM"
"TJMRS","Tribunal de Justiça Militar do Rio Grande do Sul","TJMRS","Militar","ND",-30.17,-53.5,43,"RS","TRIBM"
"TJMS","Tribunal de Justiça do Mato Grosso do Sul","TJMS","Estadual","Pequeno",-20.51,-54.54,50,"MS","TRIBE"
"TJMSP","Tribunal de Justiça Militar de São Paulo","TJMSP","Militar","ND",-22.19,-48.79,35,"SP","TRIBM"
"TJMT","Tribunal de Justiça do Mato Grosso","TJMT","Estadual","Médio",-12.64,-55.42,51,"MT","TRIBE"
"TJPA","Tribunal de Justiça do Pará","TJPA","Estadual","Médio",-3.79,-52.48,15,"PA","TRIBE"
"TJPB","Tribunal de Justiça da Paraíba","TJPB","Estadual","Pequeno",-7.28,-36.72,25,"PB","TRIBE"
"TJPE","Tribunal de Justiça de Pernambuco","TJPE","Estadual","Médio",-8.38,-37.86,26,"PE","TRIBE"
"TJPI","Tribunal de Justiça do Piauí","TJPI","Estadual","Pequeno",-6.6,-42.28,22,"PI","TRIBE"
"TJPR","Tribunal de Justiça do Paraná","TJPR","Estadual","Grande",-24.89,-51.55,41,"PR","TRIBE"
"TJRJ","Tribunal de Justiça do Rio de Janeiro","TJRJ","Estadual","Grande",-22.25,-42.66,33,"RJ","TRIBE"
"TJRN","Tribunal de Justiça do Rio Grande do Norte","TJRN","Estadual","Pequeno",-5.81,-36.59,24,"RN","TRIBE"
"TJRO","Tribunal de Justiça de Rondônia","TJRO","Estadual","Pequeno",-10.83,-63.34,11,"RO","TRIBE"
"TJRR","Tribunal de Justiça de Roraima","TJRR","Estadual","Pequeno",1.99,-61.33,14,"RR","TRIBE"
"TJRS","Tribunal de Justiça do Rio Grande do Sul","TJRS","Estadual","Grande",-30.17,-53.5,43,"RS","TRIBE"
"TJSC","Tribunal de Justiça de Santa Catarina","TJSC","Estadual","Médio",-27.45,-50.95,42,"SC","TRIBE"
"TJSE","Tribunal de Justiça de Sergipe","TJSE","Estadual","Pequeno",-10.57,-37.45,28,"SE","TRIBE"
"TJSP","Tribunal de Justiça de São Paulo","TJSP","Estadual","Grande",-22.19,-48.79,35,"SP","TRIBE"
"TJTO","Tribunal de Justiça de Tocantins","TJTO","Estadual","Pequeno",-9.46,-48.26,17,"TO","TRIBE"
"TRE-AC","Tribunal Regional Eleitoral do Acre","TRE-AC","Eleitoral","Pequeno",-8.77,-70.55,12,"AC","TRIBL"
"TRE-AL","Tribunal Regional Eleitoral de Alagoas","TRE-AL","Eleitoral","Pequeno",-9.62,-36.82,27,"AL","TRIBL"
"TRE-AM","Tribunal Regional Eleitoral do Amazonas","TRE-AM","Eleitoral","Médio",-3.47,-65.1,13,"AM","TRIBL"
"TRE-AP","Tribunal Regional Eleitoral do Amapá","TRE-AP","Eleitoral","Pequeno",1.41,-51.77,16,"AP","TRIBL"
"TRE-BA","Tribunal Regional Eleitoral da Bahia","TRE-BA","Eleitoral","Médio",-13.29,-41.71,29,"BA","TRIBL"
"TRE-CE","Tribunal Regional Eleitoral do Ceará","TRE-CE","Eleitoral","Médio",-5.2,-39.53,23,"CE","TRIBL"
"TRE-DF","Tribunal Regional Eleitoral do Distrito Federal","TRE-DF","Eleitoral","Pequeno",-15.83,-47.86,53,"DF","TRIBL"
"TRE-ES","Tribunal Regional Eleitoral do Espírito Santo","TRE-ES","Eleitoral","Pequeno",-19.19,-40.34,32,"ES","TRIBL"
"TRE-GO","Tribunal Regional Eleitoral de Goiás","TRE-GO","Eleitoral","Médio",-15.98,-49.86,52,"GO","TRIBL"
"TRE-MA","Tribunal Regional Eleitoral do Maranhão","TRE-MA","Eleitoral","Médio",-5.42,-45.44,21,"MA","TRIBL"
"TRE-MG","Tribunal Regional Eleitoral de Minas Gerais","TRE-MG","Eleitoral","Grande",-18.1,-44.38,31,"MG","TRIBL"
"TRE-MS","Tribunal Regional Eleitoral do Mato Grosso do Sul","TRE-MS","Eleitoral","Pequeno",-20.51,-54.54,50,"MS","TRIBL"
"TRE-MT","Tribunal Regional Eleitoral do Mato Grosso","TRE-MT","Eleitoral","Pequeno",-12.64,-55.42,51,"MT","TRIBL"
"TRE-PA","Tribunal Regional Eleitoral do Pará","TRE-PA","Eleitoral","Médio",-3.79,-52.48,15,"PA","TRIBL"
"TRE-PB","Tribunal Regional Eleitoral da Paraíba","TRE-PB","Eleitoral","Médio",-7.28,-36.72,25,"PB","TRIBL"
"TRE-PE","Tribunal Regional Eleitoral de Pernambuco","TRE-PE","Eleitoral","Médio",-8.38,-37.86,26,"PE","TRIBL"
